label,points,ratio
11,"[((56, 174), (57, 124)), ((57, 124), (84, 75)), ((84, 75), (95, 53)), ((95, 53), (106, 30)), ((56, 174), (45, 119)), ((45, 119), (84, 80)), ((84, 80), (116, 63)), ((116, 63), (138, 52)), ((56, 174), (62, 141)), ((62, 141), (105, 102)), ((105, 102), (133, 79)), ((133, 79), (159, 63)), ((56, 174), (84, 158)), ((84, 158), (127, 119)), ((127, 119), (149, 102)), ((149, 102), (170, 85)), ((56, 174), (100, 180)), ((100, 180), (127, 163)), ((127, 163), (148, 147)), ((148, 147), (165, 129))]","(9, 23, 174, 211)"
12,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((79, 95), (89, 85)), ((89, 85), (94, 59)), ((89, 167), (53, 141)), ((53, 141), (79, 100)), ((79, 100), (98, 79)), ((98, 79), (119, 54)), ((89, 167), (69, 167)), ((69, 167), (109, 105)), ((109, 105), (130, 69)), ((130, 69), (144, 49)), ((89, 167), (99, 167)), ((99, 167), (125, 115)), ((125, 115), (139, 85)), ((139, 85), (140, 79)), ((89, 167), (125, 172)), ((125, 172), (150, 142)), ((150, 142), (155, 121)), ((155, 121), (155, 95))]","(22, 43, 146, 165)"
13,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((79, 95), (89, 79)), ((89, 79), (89, 53)), ((73, 161), (59, 131)), ((59, 131), (94, 95)), ((94, 95), (114, 69)), ((114, 69), (119, 54)), ((73, 161), (83, 156)), ((83, 156), (119, 95)), ((119, 95), (129, 74)), ((129, 74), (129, 54)), ((73, 161), (109, 162)), ((109, 162), (135, 110)), ((135, 110), (140, 85)), ((140, 85), (135, 79)), ((73, 161), (139, 162)), ((139, 162), (155, 136)), ((155, 136), (165, 115)), ((165, 115), (160, 90))]","(22, 45, 152, 158)"
14,"[((137, 153), (82, 137)), ((82, 137), (47, 108)), ((47, 108), (42, 88)), ((42, 88), (57, 83)), ((137, 153), (62, 138)), ((62, 138), (57, 142)), ((57, 142), (57, 88)), ((57, 88), (67, 93)), ((137, 153), (102, 143)), ((102, 143), (77, 82)), ((77, 82), (77, 82)), ((77, 82), (82, 103)), ((137, 153), (122, 118)), ((122, 118), (92, 62)), ((92, 62), (107, 92)), ((107, 92), (107, 102)), ((137, 153), (142, 118)), ((142, 118), (117, 63)), ((117, 63), (127, 87)), ((0, 0), (0, 0))]","(31, 50, 133, 140)"
15,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((74, 99), (89, 88)), ((89, 88), (89, 63)), ((58, 170), (54, 134)), ((54, 134), (94, 98)), ((94, 98), (114, 73)), ((114, 73), (120, 58)), ((58, 170), (78, 155)), ((78, 155), (119, 99)), ((119, 99), (134, 68)), ((134, 68), (139, 43)), ((58, 170), (104, 165)), ((104, 165), (130, 114)), ((130, 114), (140, 84)), ((140, 84), (145, 63)), ((58, 170), (130, 170)), ((130, 170), (155, 144)), ((155, 144), (160, 114)), ((160, 114), (155, 94))]","(15, 37, 156, 174)"
16,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((84, 90), (94, 75)), ((94, 75), (100, 49)), ((94, 163), (54, 132)), ((54, 132), (84, 90)), ((84, 90), (104, 75)), ((104, 75), (125, 49)), ((94, 163), (74, 158)), ((74, 158), (110, 101)), ((110, 101), (130, 75)), ((130, 75), (140, 44)), ((94, 163), (104, 163)), ((104, 163), (130, 112)), ((130, 112), (136, 90)), ((136, 90), (140, 65)), ((94, 163), (130, 169)), ((130, 169), (155, 147)), ((155, 147), (161, 121)), ((161, 121), (151, 101))]","(28, 37, 144, 168)"
17,"[((74, 166), (108, 147)), ((108, 147), (185, 103)), ((185, 103), (204, 104)), ((204, 104), (209, 108)), ((74, 166), (98, 65)), ((98, 65), (132, 65)), ((132, 65), (152, 74)), ((152, 74), (176, 103)), ((74, 166), (79, 80)), ((79, 80), (122, 84)), ((122, 84), (156, 94)), ((156, 94), (166, 98)), ((74, 166), (79, 103)), ((79, 103), (118, 89)), ((118, 89), (142, 113)), ((142, 113), (146, 118)), ((74, 166), (74, 132)), ((74, 132), (84, 113)), ((84, 113), (113, 113)), ((113, 113), (132, 117))]","(3, 51, 212, 169)"
18,"[((74, 166), (108, 147)), ((108, 147), (189, 103)), ((189, 103), (203, 108)), ((203, 108), (203, 104)), ((74, 166), (98, 65)), ((98, 65), (136, 65)), ((136, 65), (151, 70)), ((151, 70), (170, 79)), ((74, 166), (83, 84)), ((83, 84), (117, 79)), ((117, 79), (156, 94)), ((156, 94), (175, 99)), ((74, 166), (78, 104)), ((78, 104), (117, 84)), ((117, 84), (141, 109)), ((0, 0), (0, 0)), ((74, 166), (74, 128)), ((74, 128), (88, 109)), ((88, 109), (113, 109)), ((113, 109), (136, 109))]","(3, 52, 214, 169)"
19,"[((74, 165), (172, 106)), ((172, 106), (190, 111)), ((190, 111), (199, 115)), ((199, 115), (207, 124)), ((74, 165), (101, 61)), ((101, 61), (136, 70)), ((136, 70), (154, 79)), ((0, 0), (0, 0)), ((74, 165), (87, 79)), ((87, 79), (114, 83)), ((114, 83), (154, 102)), ((154, 102), (181, 111)), ((74, 165), (82, 93)), ((82, 93), (113, 92)), ((113, 92), (127, 111)), ((0, 0), (0, 0)), ((74, 165), (73, 111)), ((73, 111), (78, 111)), ((78, 111), (101, 115)), ((101, 115), (123, 115))]","(3, 50, 212, 157)"
20,"[((77, 163), (171, 101)), ((171, 101), (184, 109)), ((184, 109), (198, 114)), ((198, 114), (206, 122)), ((77, 163), (104, 64)), ((104, 64), (140, 69)), ((140, 69), (158, 78)), ((158, 78), (166, 78)), ((77, 163), (86, 78)), ((86, 78), (113, 82)), ((113, 82), (157, 104)), ((157, 104), (180, 109)), ((77, 163), (82, 92)), ((82, 92), (109, 91)), ((0, 0), (0, 0)), ((0, 0), (0, 0)), ((77, 163), (73, 110)), ((73, 110), (77, 110)), ((77, 110), (100, 113)), ((100, 113), (122, 114))]","(3, 49, 212, 155)"
21,"[((78, 163), (175, 105)), ((175, 105), (188, 109)), ((188, 109), (202, 118)), ((202, 118), (207, 122)), ((78, 163), (104, 64)), ((104, 64), (140, 69)), ((140, 69), (171, 87)), ((171, 87), (184, 109)), ((78, 163), (87, 82)), ((87, 82), (113, 82)), ((113, 82), (157, 105)), ((157, 105), (180, 109)), ((78, 163), (82, 95)), ((82, 95), (113, 92)), ((0, 0), (0, 0)), ((0, 0), (0, 0)), ((78, 163), (73, 113)), ((73, 113), (77, 113)), ((77, 113), (100, 113)), ((100, 113), (122, 114))]","(3, 49, 213, 155)"
22,"[((78, 163), (175, 105)), ((175, 105), (189, 109)), ((189, 109), (203, 118)), ((203, 118), (207, 123)), ((78, 163), (104, 64)), ((104, 64), (136, 73)), ((136, 73), (157, 82)), ((0, 0), (0, 0)), ((78, 163), (87, 82)), ((87, 82), (113, 83)), ((113, 83), (154, 105)), ((154, 105), (180, 109)), ((78, 163), (82, 96)), ((82, 96), (109, 95)), ((109, 95), (122, 109)), ((0, 0), (0, 0)), ((78, 163), (73, 113)), ((73, 113), (74, 114)), ((74, 114), (100, 114)), ((100, 114), (122, 114))]","(3, 51, 214, 153)"
23,"[((81, 162), (173, 104)), ((173, 104), (187, 108)), ((187, 108), (200, 118)), ((200, 118), (205, 122)), ((81, 162), (103, 64)), ((103, 64), (138, 73)), ((138, 73), (156, 82)), ((0, 0), (0, 0)), ((81, 162), (89, 82)), ((89, 82), (112, 82)), ((112, 82), (152, 104)), ((152, 104), (178, 109)), ((81, 162), (81, 95)), ((81, 95), (108, 95)), ((108, 95), (121, 109)), ((0, 0), (0, 0)), ((81, 162), (72, 109)), ((72, 109), (81, 109)), ((81, 109), (99, 113)), ((99, 113), (120, 113))]","(3, 52, 214, 151)"
24,"[((81, 168), (177, 103)), ((177, 103), (190, 111)), ((190, 111), (203, 120)), ((203, 120), (208, 121)), ((81, 168), (107, 63)), ((107, 63), (138, 72)), ((138, 72), (160, 81)), ((0, 0), (0, 0)), ((81, 168), (90, 81)), ((90, 81), (137, 98)), ((137, 98), (159, 107)), ((159, 107), (182, 108)), ((81, 168), (81, 98)), ((81, 98), (72, 107)), ((72, 107), (93, 107)), ((93, 107), (116, 112)), ((81, 168), (68, 151)), ((68, 151), (72, 143)), ((72, 143), (81, 138)), ((81, 138), (120, 112))]","(3, 51, 214, 149)"
25,"[((76, 165), (158, 125)), ((158, 125), (189, 108)), ((189, 108), (198, 116)), ((198, 116), (202, 112)), ((76, 165), (106, 63)), ((106, 63), (106, 59)), ((106, 59), (128, 72)), ((128, 72), (176, 104)), ((76, 165), (88, 81)), ((88, 81), (80, 81)), ((80, 81), (154, 99)), ((0, 0), (0, 0)), ((76, 165), (67, 99)), ((67, 99), (63, 99)), ((63, 99), (89, 99)), ((89, 99), (111, 103)), ((76, 165), (67, 147)), ((67, 147), (67, 112)), ((67, 112), (80, 126)), ((0, 0), (0, 0))]","(3, 50, 212, 151)"
26,"[((69, 178), (110, 157)), ((110, 157), (146, 126)), ((146, 126), (198, 80)), ((198, 80), (193, 80)), ((69, 178), (141, 126)), ((141, 126), (162, 100)), ((162, 100), (172, 85)), ((172, 85), (188, 79)), ((69, 178), (105, 106)), ((105, 106), (131, 74)), ((131, 74), (157, 65)), ((157, 65), (182, 69)), ((69, 178), (85, 105)), ((85, 105), (115, 75)), ((115, 75), (146, 64)), ((146, 64), (167, 64)), ((69, 178), (69, 105)), ((69, 105), (75, 79)), ((75, 79), (100, 64)), ((100, 64), (131, 64))]","(3, 53, 205, 183)"
27,"[((46, 120), (68, 94)), ((68, 94), (91, 75)), ((91, 75), (176, 68)), ((176, 68), (180, 76)), ((46, 120), (72, 84)), ((72, 84), (135, 75)), ((135, 75), (161, 76)), ((161, 76), (179, 72)), ((46, 120), (76, 120)), ((76, 120), (143, 105)), ((143, 105), (175, 94)), ((175, 94), (179, 87)), ((46, 120), (83, 139)), ((83, 139), (150, 128)), ((150, 128), (172, 117)), ((172, 117), (176, 109)), ((46, 120), (105, 161)), ((105, 161), (150, 158)), ((150, 158), (161, 154)), ((161, 154), (165, 139))]","(3, 56, 187, 113)"
28,"[((42, 116), (64, 94)), ((64, 94), (226, 64)), ((226, 64), (201, 68)), ((201, 68), (179, 75)), ((42, 116), (68, 83)), ((68, 83), (167, 72)), ((167, 72), (178, 75)), ((178, 75), (179, 75)), ((42, 116), (68, 101)), ((68, 101), (138, 105)), ((138, 105), (171, 94)), ((171, 94), (175, 87)), ((42, 116), (79, 138)), ((79, 138), (142, 130)), ((142, 130), (171, 113)), ((171, 113), (171, 109)), ((42, 116), (101, 160)), ((101, 160), (149, 157)), ((149, 157), (160, 146)), ((160, 146), (160, 142))]","(3, 47, 235, 121)"
29,"[((41, 118), (63, 93)), ((63, 93), (219, 60)), ((219, 60), (197, 67)), ((197, 67), (176, 74)), ((41, 118), (66, 81)), ((66, 81), (132, 75)), ((132, 75), (154, 74)), ((154, 74), (175, 71)), ((41, 118), (67, 118)), ((67, 118), (136, 100)), ((136, 100), (168, 92)), ((168, 92), (175, 89)), ((41, 118), (77, 137)), ((77, 137), (143, 125)), ((143, 125), (168, 111)), ((168, 111), (168, 104)), ((41, 118), (100, 155)), ((100, 155), (143, 155)), ((143, 155), (157, 147)), ((157, 147), (157, 137))]","(3, 45, 231, 121)"
30,"[((94, 69), (99, 96)), ((99, 96), (99, 122)), ((99, 122), (99, 127)), ((99, 127), (99, 140)), ((94, 69), (169, 68)), ((169, 68), (174, 64)), ((174, 64), (161, 73)), ((161, 73), (143, 77)), ((94, 69), (169, 87)), ((169, 87), (169, 91)), ((169, 91), (157, 91)), ((157, 91), (139, 91)), ((94, 69), (169, 104)), ((169, 104), (174, 108)), ((174, 108), (157, 109)), ((157, 109), (152, 113)), ((94, 69), (165, 118)), ((165, 118), (173, 122)), ((173, 122), (160, 126)), ((160, 126), (156, 127))]","(11, 38, 174, 104)"
31,"[((80, 96), (91, 80)), ((91, 80), (98, 65)), ((98, 65), (99, 61)), ((99, 61), (99, 69)), ((80, 96), (106, 92)), ((106, 92), (106, 88)), ((106, 88), (99, 88)), ((99, 88), (99, 88)), ((80, 96), (99, 107)), ((99, 107), (99, 106)), ((99, 106), (91, 99)), ((91, 99), (83, 92)), ((80, 96), (91, 118)), ((91, 118), (92, 115)), ((92, 115), (83, 114)), ((83, 114), (76, 118)), ((80, 96), (91, 130)), ((91, 130), (91, 133)), ((91, 133), (80, 133)), ((80, 133), (73, 133))]","(49, 51, 64, 120)"
32,"[((65, 127), (56, 123)), ((56, 123), (48, 110)), ((48, 110), (44, 110)), ((44, 110), (40, 119)), ((65, 127), (82, 88)), ((82, 88), (91, 71)), ((91, 71), (87, 71)), ((87, 71), (78, 80)), ((65, 127), (91, 97)), ((91, 97), (108, 71)), ((108, 71), (95, 75)), ((95, 75), (87, 84)), ((65, 127), (99, 106)), ((99, 106), (108, 88)), ((108, 88), (100, 88)), ((100, 88), (91, 93)), ((65, 127), (100, 119)), ((100, 119), (108, 106)), ((108, 106), (103, 105)), ((103, 105), (95, 110))]","(5, 62, 110, 135)"
33,"[((59, 153), (55, 128)), ((55, 128), (48, 107)), ((48, 107), (52, 86)), ((52, 86), (122, 61)), ((59, 153), (89, 95)), ((89, 95), (118, 74)), ((118, 74), (118, 69)), ((118, 69), (122, 61)), ((59, 153), (101, 99)), ((101, 99), (122, 90)), ((122, 90), (118, 78)), ((0, 0), (0, 0)), ((59, 153), (105, 116)), ((105, 116), (122, 102)), ((122, 102), (114, 95)), ((114, 95), (105, 98)), ((59, 153), (109, 124)), ((109, 124), (118, 115)), ((118, 115), (114, 111)), ((114, 111), (105, 111))]","(3, 54, 127, 138)"
34,"[((73, 145), (68, 125)), ((68, 125), (58, 99)), ((58, 99), (63, 79)), ((63, 79), (63, 63)), ((73, 145), (134, 74)), ((134, 74), (134, 73)), ((134, 73), (114, 94)), ((114, 94), (103, 99)), ((73, 145), (149, 79)), ((149, 79), (144, 79)), ((144, 79), (128, 104)), ((128, 104), (108, 114)), ((73, 145), (159, 99)), ((159, 99), (155, 94)), ((155, 94), (134, 119)), ((134, 119), (119, 129)), ((73, 145), (164, 119)), ((164, 119), (154, 125)), ((154, 125), (139, 130)), ((139, 130), (129, 135))]","(3, 58, 172, 175)"
35,"[((69, 131), (72, 105)), ((72, 105), (72, 82)), ((72, 82), (81, 59)), ((81, 59), (81, 42)), ((69, 131), (108, 87)), ((108, 87), (143, 65)), ((143, 65), (152, 69)), ((152, 69), (152, 73)), ((69, 131), (104, 114)), ((104, 114), (165, 86)), ((165, 86), (160, 91)), ((160, 91), (152, 100)), ((69, 131), (112, 128)), ((112, 128), (134, 123)), ((134, 123), (165, 118)), ((165, 118), (156, 118)), ((69, 131), (113, 145)), ((113, 145), (139, 141)), ((139, 141), (161, 136)), ((161, 136), (161, 131))]","(3, 38, 184, 166)"
36,"[((74, 141), (74, 113)), ((74, 113), (74, 89)), ((74, 89), (83, 69)), ((83, 69), (88, 54)), ((74, 141), (107, 89)), ((107, 89), (127, 74)), ((127, 74), (146, 60)), ((146, 60), (160, 50)), ((74, 141), (117, 108)), ((117, 108), (145, 88)), ((145, 88), (170, 78)), ((170, 78), (179, 79)), ((74, 141), (126, 127)), ((126, 127), (179, 107)), ((179, 107), (184, 107)), ((184, 107), (184, 107)), ((74, 141), (131, 142)), ((131, 142), (164, 141)), ((164, 141), (179, 137)), ((179, 137), (179, 136))]","(3, 41, 191, 178)"
37,"[((74, 141), (74, 117)), ((74, 117), (73, 93)), ((73, 93), (83, 69)), ((83, 69), (84, 54)), ((74, 141), (112, 88)), ((112, 88), (131, 74)), ((131, 74), (150, 60)), ((150, 60), (160, 50)), ((74, 141), (122, 108)), ((122, 108), (146, 89)), ((146, 89), (165, 79)), ((165, 79), (179, 74)), ((74, 141), (127, 127)), ((127, 127), (155, 117)), ((155, 117), (174, 108)), ((174, 108), (188, 103)), ((74, 141), (132, 142)), ((132, 142), (160, 141)), ((160, 141), (170, 136)), ((170, 136), (179, 132))]","(3, 43, 191, 176)"
38,"[((64, 157), (60, 137)), ((60, 137), (60, 113)), ((60, 113), (60, 80)), ((60, 80), (59, 79)), ((64, 157), (118, 84)), ((118, 84), (108, 79)), ((108, 79), (103, 94)), ((103, 94), (103, 103)), ((64, 157), (142, 93)), ((142, 93), (127, 89)), ((127, 89), (103, 127)), ((103, 127), (103, 123)), ((64, 157), (152, 104)), ((152, 104), (151, 103)), ((151, 103), (127, 132)), ((0, 0), (0, 0)), ((64, 157), (156, 127)), ((156, 127), (156, 128)), ((156, 128), (157, 127)), ((157, 127), (160, 123))]","(3, 68, 162, 152)"
39,"[((73, 117), (57, 93)), ((57, 93), (41, 77)), ((41, 77), (37, 70)), ((37, 70), (29, 69)), ((73, 117), (61, 54)), ((61, 54), (81, 29)), ((81, 29), (85, 14)), ((85, 14), (97, 6)), ((73, 117), (77, 65)), ((77, 65), (85, 57)), ((85, 57), (65, 22)), ((65, 22), (49, 109)), ((73, 117), (97, 77)), ((97, 77), (105, 69)), ((105, 69), (100, 81)), ((100, 81), (93, 93)), ((73, 117), (116, 85)), ((116, 85), (117, 69)), ((117, 69), (117, 73)), ((117, 73), (113, 89))]","(22, 3, 104, 152)"
40,"[((77, 137), (108, 142)), ((108, 142), (123, 126)), ((123, 126), (128, 121)), ((0, 0), (0, 0)), ((77, 137), (98, 136)), ((98, 136), (124, 127)), ((124, 127), (83, 54)), ((83, 54), (78, 49)), ((77, 137), (93, 152)), ((93, 152), (123, 152)), ((123, 152), (58, 79)), ((58, 79), (68, 65)), ((77, 137), (103, 172)), ((103, 172), (108, 168)), ((108, 168), (93, 69)), ((93, 69), (98, 64)), ((77, 137), (93, 188)), ((93, 188), (88, 189)), ((88, 189), (83, 189)), ((83, 189), (78, 188))]","(27, 43, 112, 156)"
41,"[((75, 138), (101, 133)), ((101, 133), (127, 128)), ((127, 128), (137, 123)), ((137, 123), (132, 123)), ((75, 138), (91, 118)), ((91, 118), (96, 107)), ((96, 107), (127, 149)), ((127, 149), (96, 39)), ((75, 138), (70, 138)), ((70, 138), (85, 76)), ((85, 76), (85, 60)), ((85, 60), (81, 49)), ((75, 138), (59, 117)), ((59, 117), (59, 81)), ((59, 81), (69, 70)), ((69, 70), (70, 60)), ((75, 138), (44, 112)), ((44, 112), (34, 97)), ((34, 97), (34, 96)), ((34, 96), (75, 191))]","(30, 37, 114, 164)"
42,"[((114, 104), (84, 89)), ((84, 89), (73, 82)), ((73, 82), (69, 77)), ((69, 77), (65, 89)), ((114, 104), (92, 66)), ((92, 66), (91, 62)), ((91, 62), (91, 59)), ((91, 59), (69, 97)), ((114, 104), (106, 74)), ((106, 74), (99, 92)), ((99, 92), (95, 104)), ((95, 104), (80, 104)), ((114, 104), (114, 82)), ((114, 82), (106, 104)), ((106, 104), (103, 112)), ((103, 112), (99, 116)), ((114, 104), (121, 96)), ((121, 96), (125, 89)), ((125, 89), (129, 89)), ((129, 89), (128, 88))]","(57, 50, 78, 86)"
43,"[((97, 89), (85, 89)), ((85, 89), (73, 85)), ((73, 85), (61, 62)), ((61, 62), (62, 61)), ((97, 89), (97, 65)), ((97, 65), (101, 65)), ((101, 65), (61, 62)), ((61, 62), (65, 61)), ((97, 89), (109, 81)), ((109, 81), (116, 89)), ((116, 89), (93, 101)), ((93, 101), (89, 105)), ((97, 89), (121, 97)), ((121, 97), (124, 101)), ((124, 101), (109, 113)), ((109, 113), (105, 113)), ((97, 89), (121, 113)), ((121, 113), (125, 121)), ((125, 121), (121, 121)), ((121, 121), (116, 124))]","(53, 53, 78, 74)"
44,"[((81, 160), (106, 141)), ((106, 141), (135, 131)), ((135, 131), (150, 116)), ((150, 116), (150, 106)), ((81, 160), (125, 146)), ((125, 146), (125, 145)), ((125, 145), (160, 106)), ((160, 106), (125, 86)), ((81, 160), (101, 156)), ((101, 156), (105, 156)), ((105, 156), (105, 101)), ((105, 101), (110, 101)), ((81, 160), (85, 170)), ((85, 170), (81, 170)), ((81, 170), (61, 146)), ((0, 0), (0, 0)), ((81, 160), (66, 180)), ((66, 180), (56, 166)), ((56, 166), (56, 165)), ((56, 165), (170, 96))]","(46, 65, 128, 124)"
45,"[((95, 146), (112, 147)), ((112, 147), (140, 141)), ((140, 141), (152, 146)), ((152, 146), (140, 129)), ((0, 0), (0, 0)), ((0, 0), (0, 0)), ((123, 164), (123, 170)), ((123, 170), (117, 187)), ((95, 146), (82, 146)), ((82, 146), (83, 152)), ((83, 152), (95, 181)), ((95, 181), (100, 192)), ((95, 146), (77, 129)), ((77, 129), (72, 118)), ((72, 118), (88, 106)), ((88, 106), (100, 106)), ((95, 146), (77, 112)), ((77, 112), (82, 100)), ((82, 100), (83, 100)), ((83, 100), (105, 106))]","(58, 87, 104, 110)"
46,"[((76, 125), (65, 104)), ((65, 104), (123, 125)), ((123, 125), (134, 125)), ((134, 125), (134, 115)), ((76, 125), (76, 88)), ((76, 88), (75, 88)), ((75, 88), (65, 109)), ((65, 109), (50, 120)), ((76, 125), (92, 110)), ((92, 110), (97, 109)), ((97, 109), (65, 130)), ((65, 130), (81, 130)), ((76, 125), (97, 152)), ((97, 152), (102, 152)), ((102, 152), (71, 146)), ((0, 0), (0, 0)), ((76, 125), (81, 168)), ((81, 168), (81, 168)), ((81, 168), (81, 163)), ((81, 163), (133, 131))]","(42, 75, 106, 100)"
