label,points,ratio
11,"[((57, 81), (61, 68)), ((61, 68), (68, 54)), ((68, 54), (81, 41)), ((81, 41), (84, 25)), ((57, 81), (71, 58)), ((71, 58), (90, 48)), ((90, 48), (94, 44)), ((94, 44), (97, 41)), ((57, 81), (74, 68)), ((74, 68), (97, 61)), ((97, 61), (98, 61)), ((98, 61), (94, 67)), ((57, 81), (75, 78)), ((75, 78), (97, 81)), ((97, 81), (98, 84)), ((98, 84), (97, 81)), ((57, 81), (78, 91)), ((78, 91), (87, 95)), ((87, 95), (94, 98)), ((94, 98), (98, 104))]","(6, 22, 148, 96)"
12,"[((41, 99), (47, 83)), ((47, 83), (54, 70)), ((54, 70), (66, 57)), ((66, 57), (70, 41)), ((41, 99), (57, 74)), ((57, 74), (76, 64)), ((76, 64), (80, 60)), ((80, 60), (83, 57)), ((41, 99), (60, 84)), ((60, 84), (83, 79)), ((83, 79), (83, 80)), ((83, 80), (79, 83)), ((41, 99), (60, 96)), ((60, 96), (79, 100)), ((79, 100), (83, 100)), ((83, 100), (86, 100)), ((41, 99), (63, 106)), ((63, 106), (73, 112)), ((73, 112), (79, 116)), ((79, 116), (86, 119))]","(3, 38, 142, 95)"
13,"[((49, 82), (55, 66)), ((55, 66), (65, 52)), ((65, 52), (75, 40)), ((75, 40), (81, 24)), ((49, 82), (68, 56)), ((68, 56), (84, 50)), ((84, 50), (87, 46)), ((87, 46), (91, 43)), ((49, 82), (68, 69)), ((68, 69), (90, 63)), ((90, 63), (91, 63)), ((91, 63), (91, 63)), ((49, 82), (68, 79)), ((68, 79), (84, 85)), ((84, 85), (90, 82)), ((90, 82), (94, 82)), ((49, 82), (71, 88)), ((71, 88), (81, 95)), ((81, 95), (87, 98)), ((87, 98), (94, 104))]","(3, 22, 119, 94)"
14,"[((49, 81), (53, 65)), ((53, 65), (62, 52)), ((62, 52), (74, 39)), ((74, 39), (80, 26)), ((49, 81), (65, 59)), ((65, 59), (84, 52)), ((84, 52), (87, 49)), ((87, 49), (90, 46)), ((49, 81), (65, 68)), ((65, 68), (88, 65)), ((88, 65), (90, 65)), ((90, 65), (84, 68)), ((49, 81), (65, 78)), ((65, 78), (81, 81)), ((81, 81), (90, 84)), ((90, 84), (91, 84)), ((49, 81), (68, 90)), ((68, 90), (80, 94)), ((80, 94), (85, 100)), ((85, 100), (91, 104))]","(3, 22, 117, 93)"
15,"[((49, 82), (55, 66)), ((55, 66), (62, 52)), ((62, 52), (74, 40)), ((74, 40), (78, 27)), ((49, 82), (62, 56)), ((62, 56), (83, 56)), ((83, 56), (87, 52)), ((87, 52), (89, 49)), ((49, 82), (64, 66)), ((64, 66), (87, 66)), ((87, 66), (90, 66)), ((90, 66), (90, 68)), ((49, 82), (64, 78)), ((64, 78), (81, 75)), ((81, 75), (89, 79)), ((89, 79), (87, 82)), ((49, 82), (67, 91)), ((67, 91), (77, 95)), ((77, 95), (84, 101)), ((84, 101), (90, 107))]","(3, 23, 118, 92)"
16,"[((45, 80), (51, 65)), ((51, 65), (60, 52)), ((60, 52), (70, 39)), ((70, 39), (76, 26)), ((45, 80), (61, 61)), ((61, 61), (79, 55)), ((79, 55), (82, 58)), ((82, 58), (79, 61)), ((45, 80), (64, 71)), ((64, 71), (85, 68)), ((85, 68), (86, 77)), ((86, 77), (79, 74)), ((45, 80), (63, 80)), ((63, 80), (76, 83)), ((76, 83), (86, 87)), ((86, 87), (91, 87)), ((45, 80), (64, 90)), ((64, 90), (76, 96)), ((76, 96), (82, 100)), ((82, 100), (88, 106))]","(3, 23, 116, 91)"
17,"[((64, 69), (64, 65)), ((64, 65), (55, 52)), ((55, 52), (41, 38)), ((41, 38), (41, 45)), ((64, 69), (51, 72)), ((51, 72), (44, 76)), ((44, 76), (41, 79)), ((41, 79), (41, 80)), ((64, 69), (64, 79)), ((64, 79), (55, 86)), ((55, 86), (51, 89)), ((51, 89), (48, 90)), ((64, 69), (74, 86)), ((74, 86), (68, 93)), ((68, 93), (65, 93)), ((65, 93), (61, 96)), ((64, 69), (84, 86)), ((84, 86), (85, 93)), ((85, 93), (84, 93)), ((84, 93), (81, 93))]","(34, 30, 60, 69)"
18,"[((26, 82), (39, 71)), ((39, 71), (53, 58)), ((53, 58), (67, 54)), ((67, 54), (73, 43)), ((26, 82), (53, 75)), ((53, 75), (70, 79)), ((70, 79), (77, 79)), ((0, 0), (0, 0)), ((26, 82), (53, 86)), ((53, 86), (67, 92)), ((67, 92), (81, 102)), ((81, 102), (91, 107)), ((26, 82), (53, 99)), ((53, 99), (67, 106)), ((67, 106), (84, 103)), ((84, 103), (91, 110)), ((26, 82), (53, 106)), ((53, 106), (67, 110)), ((67, 110), (77, 117)), ((77, 117), (88, 124))]","(3, 38, 164, 89)"
19,"[((26, 79), (40, 68)), ((40, 68), (54, 55)), ((54, 55), (68, 50)), ((68, 50), (72, 40)), ((26, 79), (55, 72)), ((55, 72), (73, 79)), ((73, 79), (83, 83)), ((83, 83), (93, 86)), ((26, 79), (54, 83)), ((54, 83), (72, 93)), ((72, 93), (86, 104)), ((86, 104), (93, 108)), ((26, 79), (54, 93)), ((54, 93), (69, 104)), ((69, 104), (79, 115)), ((79, 115), (89, 122)), ((26, 79), (51, 101)), ((51, 101), (65, 111)), ((65, 111), (72, 118)), ((72, 118), (82, 122))]","(3, 35, 165, 90)"
20,"[((8, 80), (19, 70)), ((19, 70), (29, 56)), ((29, 56), (45, 49)), ((45, 49), (46, 36)), ((8, 80), (36, 70)), ((36, 70), (53, 77)), ((53, 77), (63, 83)), ((63, 83), (69, 87)), ((8, 80), (32, 83)), ((32, 83), (56, 94)), ((56, 94), (63, 101)), ((63, 101), (70, 105)), ((8, 80), (32, 94)), ((32, 94), (46, 104)), ((46, 104), (59, 111)), ((59, 111), (67, 118)), ((8, 80), (29, 101)), ((29, 101), (46, 111)), ((46, 111), (53, 118)), ((53, 118), (60, 122))]","(3, 32, 153, 94)"
21,"[((67, 72), (64, 62)), ((64, 62), (54, 52)), ((54, 52), (44, 41)), ((44, 41), (31, 31)), ((67, 72), (48, 75)), ((48, 75), (44, 71)), ((44, 71), (41, 68)), ((41, 68), (40, 65)), ((67, 72), (61, 81)), ((61, 81), (57, 75)), ((57, 75), (57, 75)), ((57, 75), (57, 72)), ((67, 72), (74, 78)), ((74, 78), (70, 78)), ((70, 78), (70, 75)), ((70, 75), (70, 75)), ((67, 72), (90, 78)), ((90, 78), (87, 75)), ((87, 75), (84, 72)), ((84, 72), (83, 72))]","(28, 26, 68, 87)"
22,"[((68, 78), (65, 65)), ((65, 65), (55, 52)), ((55, 52), (47, 44)), ((47, 44), (34, 32)), ((68, 78), (54, 68)), ((54, 68), (45, 75)), ((45, 75), (42, 72)), ((42, 72), (41, 71)), ((68, 78), (61, 78)), ((61, 78), (58, 82)), ((58, 82), (58, 81)), ((58, 81), (58, 78)), ((68, 78), (74, 81)), ((74, 81), (71, 82)), ((71, 82), (71, 81)), ((71, 81), (71, 81)), ((68, 78), (88, 81)), ((88, 81), (88, 78)), ((88, 78), (88, 78)), ((88, 78), (85, 78))]","(29, 29, 69, 82)"
23,"[((66, 58), (69, 48)), ((69, 48), (73, 40)), ((73, 40), (76, 35)), ((76, 35), (79, 31)), ((66, 58), (66, 107)), ((66, 107), (50, 91)), ((50, 91), (40, 87)), ((40, 87), (31, 84)), ((66, 58), (73, 97)), ((73, 97), (63, 87)), ((63, 87), (53, 80)), ((53, 80), (47, 77)), ((66, 58), (76, 87)), ((76, 87), (66, 77)), ((66, 77), (60, 74)), ((60, 74), (54, 64)), ((66, 58), (79, 77)), ((79, 77), (76, 74)), ((76, 74), (73, 70)), ((73, 70), (69, 67))]","(31, 25, 57, 90)"
24,"[((21, 78), (30, 66)), ((30, 66), (37, 56)), ((37, 56), (53, 47)), ((53, 47), (56, 37)), ((21, 78), (98, 92)), ((98, 92), (85, 101)), ((85, 101), (75, 107)), ((75, 107), (66, 114)), ((21, 78), (92, 81)), ((92, 81), (66, 69)), ((66, 69), (69, 101)), ((69, 101), (69, 78)), ((21, 78), (40, 78)), ((40, 78), (63, 88)), ((63, 88), (72, 88)), ((72, 88), (72, 94)), ((21, 78), (40, 88)), ((40, 88), (53, 98)), ((53, 98), (59, 101)), ((59, 101), (59, 107))]","(3, 34, 153, 82)"
25,"[((59, 73), (56, 60)), ((56, 60), (33, 113)), ((33, 113), (69, 40)), ((69, 40), (72, 24)), ((59, 73), (56, 54)), ((56, 54), (69, 44)), ((69, 44), (72, 41)), ((72, 41), (79, 51)), ((59, 73), (56, 64)), ((56, 64), (72, 57)), ((72, 57), (79, 54)), ((79, 54), (82, 57)), ((59, 73), (62, 73)), ((62, 73), (72, 67)), ((72, 67), (85, 67)), ((85, 67), (88, 67)), ((59, 73), (69, 77)), ((69, 77), (82, 77)), ((82, 77), (91, 80)), ((91, 80), (94, 80))]","(18, 21, 80, 106)"
26,"[((63, 66), (69, 72)), ((69, 72), (72, 78)), ((72, 78), (28, 37)), ((28, 37), (19, 28)), ((63, 66), (46, 84)), ((46, 84), (33, 85)), ((33, 85), (25, 91)), ((25, 91), (19, 97)), ((63, 66), (45, 69)), ((45, 69), (33, 69)), ((33, 69), (22, 72)), ((22, 72), (16, 81)), ((63, 66), (45, 60)), ((45, 60), (28, 57)), ((28, 57), (19, 57)), ((19, 57), (10, 55)), ((63, 66), (43, 51)), ((43, 51), (34, 43)), ((0, 0), (0, 0)), ((0, 0), (0, 0))]","(3, 22, 77, 88)"
27,"[((64, 67), (70, 73)), ((70, 73), (75, 76)), ((75, 76), (30, 37)), ((30, 37), (21, 25)), ((64, 67), (46, 82)), ((46, 82), (34, 85)), ((34, 85), (27, 91)), ((27, 91), (19, 97)), ((64, 67), (46, 70)), ((46, 70), (34, 70)), ((34, 70), (22, 70)), ((22, 70), (16, 79)), ((64, 67), (45, 58)), ((45, 58), (31, 55)), ((31, 55), (22, 55)), ((22, 55), (13, 55)), ((64, 67), (43, 49)), ((43, 49), (36, 43)), ((36, 43), (30, 37)), ((30, 37), (22, 106))]","(3, 22, 78, 87)"
28,"[((89, 96), (75, 89)), ((75, 89), (58, 79)), ((58, 79), (45, 72)), ((45, 72), (35, 68)), ((89, 96), (75, 62)), ((75, 62), (75, 42)), ((75, 42), (75, 39)), ((75, 39), (76, 38)), ((89, 96), (85, 68)), ((85, 68), (89, 51)), ((89, 51), (92, 45)), ((92, 45), (95, 45)), ((89, 96), (92, 75)), ((92, 75), (99, 66)), ((99, 66), (102, 62)), ((102, 62), (106, 58)), ((89, 96), (98, 86)), ((98, 86), (102, 82)), ((102, 82), (106, 79)), ((106, 79), (109, 75))]","(33, 35, 100, 92)"
29,"[((65, 101), (79, 98)), ((79, 98), (93, 90)), ((93, 90), (103, 79)), ((103, 79), (114, 69)), ((65, 101), (79, 73)), ((79, 73), (82, 55)), ((82, 55), (82, 51)), ((82, 51), (79, 48)), ((65, 101), (68, 76)), ((68, 76), (64, 55)), ((64, 55), (61, 51)), ((61, 51), (61, 51)), ((65, 101), (61, 83)), ((61, 83), (51, 66)), ((51, 66), (47, 62)), ((47, 62), (47, 58)), ((65, 101), (54, 91)), ((54, 91), (46, 83)), ((46, 83), (40, 79)), ((40, 79), (36, 76))]","(34, 44, 86, 89)"
30,"[((72, 106), (84, 102)), ((84, 102), (98, 91)), ((98, 91), (108, 81)), ((108, 81), (119, 70)), ((72, 106), (83, 77)), ((83, 77), (83, 62)), ((83, 62), (83, 52)), ((83, 52), (80, 48)), ((72, 106), (73, 80)), ((73, 80), (66, 63)), ((66, 63), (65, 55)), ((65, 55), (62, 48)), ((72, 106), (65, 85)), ((65, 85), (55, 70)), ((55, 70), (51, 63)), ((51, 63), (47, 56)), ((72, 106), (55, 92)), ((55, 92), (47, 84)), ((47, 84), (41, 78)), ((41, 78), (37, 74))]","(34, 44, 90, 91)"
31,"[((71, 94), (67, 101)), ((67, 101), (53, 93)), ((53, 93), (39, 82)), ((39, 82), (31, 75)), ((71, 94), (86, 102)), ((86, 102), (94, 97)), ((94, 97), (104, 90)), ((104, 90), (111, 83)), ((71, 94), (83, 90)), ((83, 90), (94, 82)), ((94, 82), (101, 75)), ((101, 75), (108, 68)), ((71, 94), (79, 83)), ((79, 83), (86, 68)), ((86, 68), (90, 60)), ((90, 60), (97, 53)), ((71, 94), (71, 78)), ((71, 78), (71, 64)), ((71, 64), (75, 54)), ((75, 54), (78, 46))]","(28, 44, 92, 101)"
32,"[((72, 100), (85, 97)), ((85, 97), (96, 86)), ((96, 86), (106, 75)), ((106, 75), (117, 65)), ((72, 100), (79, 72)), ((79, 72), (79, 58)), ((79, 58), (78, 48)), ((78, 48), (75, 40)), ((72, 100), (68, 75)), ((68, 75), (61, 58)), ((61, 58), (58, 48)), ((58, 48), (54, 44)), ((72, 100), (61, 80)), ((61, 80), (50, 65)), ((50, 65), (43, 55)), ((43, 55), (43, 51)), ((72, 100), (54, 87)), ((54, 87), (43, 79)), ((43, 79), (36, 73)), ((36, 73), (33, 69))]","(30, 39, 90, 91)"
33,"[((70, 104), (62, 104)), ((62, 104), (50, 93)), ((50, 93), (39, 85)), ((39, 85), (31, 77)), ((70, 104), (85, 104)), ((85, 104), (96, 97)), ((96, 97), (104, 93)), ((104, 93), (111, 85)), ((70, 104), (85, 93)), ((85, 93), (96, 85)), ((96, 85), (101, 77)), ((101, 77), (108, 70)), ((70, 104), (77, 85)), ((77, 85), (85, 70)), ((85, 70), (93, 63)), ((93, 63), (100, 55)), ((70, 104), (70, 81)), ((70, 81), (73, 66)), ((73, 66), (74, 58)), ((74, 58), (77, 47))]","(27, 46, 87, 103)"
34,"[((68, 99), (61, 103)), ((61, 103), (49, 92)), ((49, 92), (38, 81)), ((38, 81), (31, 73)), ((68, 99), (86, 103)), ((86, 103), (94, 96)), ((94, 96), (101, 92)), ((101, 92), (112, 84)), ((68, 99), (82, 92)), ((82, 92), (94, 81)), ((94, 81), (104, 76)), ((104, 76), (112, 69)), ((68, 99), (75, 84)), ((75, 84), (86, 69)), ((86, 69), (93, 62)), ((93, 62), (101, 54)), ((68, 99), (68, 77)), ((68, 77), (72, 65)), ((72, 65), (75, 54)), ((75, 54), (79, 46))]","(29, 44, 89, 103)"
35,"[((72, 101), (83, 94)), ((83, 94), (96, 87)), ((96, 87), (103, 73)), ((103, 73), (111, 65)), ((72, 101), (76, 72)), ((76, 72), (75, 58)), ((75, 58), (72, 48)), ((72, 48), (68, 41)), ((72, 101), (65, 76)), ((65, 76), (58, 59)), ((58, 59), (54, 51)), ((54, 51), (47, 44)), ((72, 101), (58, 80)), ((58, 80), (47, 66)), ((47, 66), (40, 58)), ((40, 58), (37, 52)), ((72, 101), (51, 90)), ((51, 90), (40, 80)), ((40, 80), (33, 76)), ((33, 76), (29, 72))]","(25, 38, 92, 94)"
36,"[((78, 101), (67, 101)), ((67, 101), (53, 90)), ((53, 90), (45, 79)), ((45, 79), (38, 72)), ((78, 101), (93, 101)), ((93, 101), (104, 94)), ((104, 94), (111, 90)), ((111, 90), (119, 83)), ((78, 101), (89, 90)), ((89, 90), (104, 79)), ((104, 79), (112, 75)), ((112, 75), (119, 68)), ((78, 101), (82, 83)), ((82, 83), (93, 68)), ((93, 68), (101, 60)), ((101, 60), (108, 53)), ((78, 101), (75, 75)), ((75, 75), (82, 61)), ((82, 61), (85, 53)), ((85, 53), (89, 45))]","(35, 42, 90, 102)"
37,"[((85, 103), (96, 93)), ((96, 93), (107, 82)), ((107, 82), (113, 72)), ((113, 72), (120, 64)), ((85, 103), (86, 72)), ((86, 72), (82, 57)), ((82, 57), (78, 47)), ((78, 47), (72, 40)), ((85, 103), (75, 75)), ((75, 75), (68, 61)), ((68, 61), (61, 51)), ((61, 51), (54, 43)), ((85, 103), (68, 82)), ((68, 82), (54, 68)), ((54, 68), (47, 58)), ((47, 58), (43, 54)), ((85, 103), (61, 90)), ((61, 90), (47, 82)), ((47, 82), (39, 75)), ((39, 75), (33, 72))]","(32, 37, 92, 95)"
38,"[((81, 104), (69, 100)), ((69, 100), (55, 89)), ((55, 89), (45, 78)), ((45, 78), (37, 71)), ((81, 104), (92, 100)), ((92, 100), (102, 93)), ((102, 93), (110, 89)), ((110, 89), (117, 85)), ((81, 104), (88, 89)), ((88, 89), (105, 78)), ((105, 78), (113, 74)), ((113, 74), (120, 67)), ((81, 104), (84, 82)), ((84, 82), (95, 67)), ((95, 67), (102, 59)), ((102, 59), (110, 49)), ((81, 104), (77, 74)), ((77, 74), (81, 60)), ((81, 60), (84, 52)), ((84, 52), (88, 42))]","(35, 41, 92, 101)"
39,"[((87, 103), (97, 93)), ((97, 93), (108, 82)), ((108, 82), (112, 71)), ((112, 71), (119, 61)), ((87, 103), (87, 71)), ((87, 71), (84, 58)), ((84, 58), (77, 50)), ((77, 50), (73, 39)), ((87, 103), (77, 75)), ((77, 75), (67, 61)), ((67, 61), (60, 50)), ((60, 50), (56, 43)), ((87, 103), (70, 82)), ((70, 82), (56, 68)), ((56, 68), (46, 58)), ((46, 58), (42, 53)), ((87, 103), (63, 92)), ((63, 92), (49, 82)), ((49, 82), (42, 78)), ((42, 78), (36, 71))]","(33, 34, 93, 97)"
40,"[((82, 104), (68, 97)), ((68, 97), (54, 86)), ((54, 86), (46, 76)), ((46, 76), (36, 65)), ((82, 104), (92, 96)), ((92, 96), (103, 90)), ((103, 90), (110, 83)), ((110, 83), (120, 79)), ((82, 104), (89, 86)), ((89, 86), (103, 76)), ((103, 76), (113, 69)), ((113, 69), (120, 62)), ((82, 104), (82, 76)), ((82, 76), (95, 62)), ((95, 62), (102, 54)), ((102, 54), (110, 47)), ((82, 104), (75, 72)), ((75, 72), (81, 58)), ((81, 58), (85, 48)), ((85, 48), (89, 40))]","(34, 37, 92, 101)"
41,"[((88, 107), (95, 96)), ((95, 96), (106, 85)), ((106, 85), (112, 72)), ((112, 72), (119, 64)), ((88, 107), (88, 72)), ((88, 72), (81, 58)), ((81, 58), (77, 51)), ((77, 51), (71, 40)), ((88, 107), (77, 78)), ((77, 78), (67, 61)), ((67, 61), (60, 54)), ((60, 54), (53, 47)), ((88, 107), (68, 85)), ((68, 85), (56, 71)), ((56, 71), (46, 61)), ((46, 61), (43, 54)), ((88, 107), (64, 93)), ((64, 93), (50, 86)), ((50, 86), (43, 82)), ((43, 82), (36, 75))]","(34, 39, 91, 94)"
42,"[((76, 95), (66, 95)), ((66, 95), (54, 87)), ((54, 87), (44, 76)), ((44, 76), (37, 66)), ((76, 95), (93, 95)), ((93, 95), (101, 91)), ((101, 91), (111, 87)), ((111, 87), (119, 80)), ((76, 95), (90, 87)), ((90, 87), (104, 77)), ((104, 77), (111, 73)), ((111, 73), (122, 66)), ((76, 95), (83, 77)), ((83, 77), (94, 63)), ((94, 63), (101, 55)), ((101, 55), (111, 48)), ((76, 95), (76, 73)), ((76, 73), (82, 59)), ((82, 59), (86, 48)), ((86, 48), (90, 41))]","(34, 39, 91, 80)"
43,"[((91, 105), (101, 97)), ((101, 97), (112, 84)), ((112, 84), (116, 73)), ((116, 73), (123, 65)), ((91, 105), (91, 73)), ((91, 73), (84, 59)), ((84, 59), (80, 51)), ((80, 51), (76, 41)), ((91, 105), (80, 79)), ((80, 79), (69, 62)), ((69, 62), (62, 55)), ((62, 55), (55, 47)), ((91, 105), (72, 86)), ((72, 86), (59, 72)), ((59, 72), (51, 65)), ((51, 65), (44, 58)), ((91, 105), (66, 94)), ((66, 94), (52, 87)), ((52, 87), (44, 83)), ((44, 83), (37, 76))]","(36, 39, 91, 95)"
44,"[((69, 96), (69, 99)), ((69, 99), (80, 114)), ((80, 114), (45, 78)), ((45, 78), (37, 70)), ((69, 96), (94, 99)), ((94, 99), (105, 92)), ((105, 92), (112, 89)), ((112, 89), (119, 85)), ((69, 96), (90, 88)), ((90, 88), (104, 81)), ((104, 81), (112, 74)), ((112, 74), (119, 67)), ((69, 96), (83, 81)), ((83, 81), (94, 67)), ((94, 67), (101, 60)), ((101, 60), (112, 52)), ((69, 96), (76, 74)), ((76, 74), (80, 63)), ((80, 63), (86, 52)), ((86, 52), (90, 45))]","(35, 42, 92, 80)"
45,"[((90, 105), (100, 97)), ((100, 97), (111, 84)), ((111, 84), (115, 73)), ((115, 73), (122, 65)), ((90, 105), (90, 73)), ((90, 73), (83, 59)), ((83, 59), (79, 51)), ((79, 51), (73, 41)), ((90, 105), (79, 79)), ((79, 79), (69, 62)), ((69, 62), (61, 55)), ((61, 55), (55, 47)), ((90, 105), (72, 86)), ((72, 86), (58, 72)), ((58, 72), (48, 62)), ((48, 62), (41, 58)), ((90, 105), (65, 94)), ((65, 94), (51, 87)), ((51, 87), (44, 83)), ((44, 83), (37, 76))]","(36, 40, 91, 93)"
46,"[((74, 97), (63, 97)), ((63, 97), (52, 89)), ((52, 89), (45, 78)), ((45, 78), (34, 71)), ((74, 97), (92, 100)), ((92, 100), (100, 93)), ((100, 93), (110, 89)), ((110, 89), (117, 83)), ((74, 97), (88, 90)), ((88, 90), (103, 79)), ((103, 79), (110, 75)), ((110, 75), (118, 68)), ((74, 97), (81, 82)), ((81, 82), (92, 67)), ((92, 67), (99, 60)), ((99, 60), (107, 52)), ((74, 97), (74, 75)), ((74, 75), (81, 60)), ((81, 60), (84, 53)), ((84, 53), (88, 45))]","(33, 42, 91, 98)"
