label,points,ratio
24,"[((49, 144), (59, 112)), ((59, 112), (59, 81)), ((59, 81), (59, 44)), ((59, 44), (49, 18)), ((49, 144), (69, 128)), ((69, 128), (111, 97)), ((111, 97), (137, 86)), ((137, 86), (157, 70)), ((49, 144), (85, 159)), ((85, 159), (131, 112)), ((131, 112), (157, 91)), ((157, 91), (173, 76)), ((49, 144), (110, 170)), ((110, 170), (147, 133)), ((147, 133), (172, 107)), ((172, 107), (193, 91)), ((49, 144), (126, 185)), ((126, 185), (152, 170)), ((152, 170), (172, 159)), ((172, 159), (188, 138))]","(3, 12, 197, 192)"
25,"[((54, 143), (64, 107)), ((64, 107), (59, 75)), ((59, 75), (64, 39)), ((64, 39), (54, 17)), ((54, 143), (70, 128)), ((70, 128), (116, 96)), ((116, 96), (142, 80)), ((142, 80), (162, 65)), ((54, 143), (90, 154)), ((90, 154), (132, 112)), ((132, 112), (158, 91)), ((158, 91), (178, 75)), ((54, 143), (111, 169)), ((111, 169), (152, 128)), ((152, 128), (173, 106)), ((173, 106), (194, 86)), ((54, 143), (131, 180)), ((131, 180), (153, 169)), ((153, 169), (174, 154)), ((174, 154), (194, 133))]","(4, 10, 200, 192)"
26,"[((61, 147), (72, 115)), ((72, 115), (67, 82)), ((67, 82), (72, 40)), ((72, 40), (61, 18)), ((61, 147), (78, 131)), ((78, 131), (121, 99)), ((121, 99), (148, 83)), ((148, 83), (169, 67)), ((61, 147), (99, 158)), ((99, 158), (142, 115)), ((142, 115), (169, 93)), ((169, 93), (185, 72)), ((61, 147), (116, 174)), ((116, 174), (159, 131)), ((159, 131), (180, 109)), ((180, 109), (202, 88)), ((61, 147), (136, 185)), ((136, 185), (164, 169)), ((164, 169), (185, 158)), ((185, 158), (201, 137))]","(10, 12, 200, 191)"
27,"[((148, 150), (122, 154)), ((122, 154), (169, 45)), ((169, 45), (179, 28)), ((179, 28), (179, 24)), ((148, 150), (101, 165)), ((101, 165), (75, 134)), ((75, 134), (64, 118)), ((64, 118), (49, 97)), ((148, 150), (122, 159)), ((122, 159), (91, 113)), ((91, 113), (65, 92)), ((65, 92), (49, 75)), ((148, 150), (132, 123)), ((132, 123), (106, 102)), ((106, 102), (80, 81)), ((80, 81), (60, 65)), ((148, 150), (153, 113)), ((153, 113), (117, 87)), ((117, 87), (90, 65)), ((90, 65), (80, 60))]","(42, 14, 152, 180)"
28,"[((71, 148), (82, 116)), ((82, 116), (77, 83)), ((77, 83), (82, 45)), ((82, 45), (71, 19)), ((71, 148), (87, 132)), ((87, 132), (130, 100)), ((130, 100), (156, 84)), ((156, 84), (173, 72)), ((71, 148), (104, 159)), ((104, 159), (151, 116)), ((151, 116), (173, 94)), ((173, 94), (194, 78)), ((71, 148), (125, 175)), ((125, 175), (167, 132)), ((167, 132), (189, 111)), ((189, 111), (210, 89)), ((71, 148), (141, 186)), ((141, 186), (172, 170)), ((172, 170), (194, 159)), ((194, 159), (205, 143))]","(19, 13, 200, 191)"
29,"[((90, 148), (85, 112)), ((85, 112), (85, 80)), ((85, 80), (90, 44)), ((90, 44), (80, 70)), ((90, 148), (85, 127)), ((85, 127), (137, 96)), ((137, 96), (162, 80)), ((162, 80), (173, 70)), ((90, 148), (101, 153)), ((101, 153), (152, 112)), ((152, 112), (178, 91)), ((178, 91), (199, 75)), ((90, 148), (122, 169)), ((122, 169), (167, 132)), ((167, 132), (194, 107)), ((194, 107), (214, 91)), ((90, 148), (147, 180)), ((147, 180), (178, 164)), ((178, 164), (194, 154)), ((194, 154), (209, 138))]","(21, 3, 201, 193)"
30,"[((133, 124), (156, 87)), ((156, 87), (170, 77)), ((170, 77), (175, 72)), ((175, 72), (170, 77)), ((133, 124), (82, 73)), ((82, 73), (109, 63)), ((109, 63), (137, 67)), ((137, 67), (147, 67)), ((133, 124), (76, 100)), ((76, 100), (100, 86)), ((100, 86), (142, 86)), ((142, 86), (157, 87)), ((133, 124), (77, 124)), ((77, 124), (105, 114)), ((105, 114), (138, 114)), ((138, 114), (161, 114)), ((133, 124), (91, 147)), ((91, 147), (100, 147)), ((100, 147), (128, 143)), ((128, 143), (133, 138))]","(19, 47, 168, 140)"
31,"[((127, 133), (141, 119)), ((141, 119), (165, 89)), ((165, 89), (174, 80)), ((174, 80), (170, 80)), ((127, 133), (103, 70)), ((103, 70), (112, 70)), ((112, 70), (136, 80)), ((136, 80), (141, 75)), ((127, 133), (78, 104)), ((78, 104), (98, 94)), ((98, 94), (132, 98)), ((132, 98), (146, 108)), ((127, 133), (74, 132)), ((74, 132), (93, 123)), ((93, 123), (122, 127)), ((122, 127), (146, 128)), ((127, 133), (79, 166)), ((79, 166), (93, 152)), ((93, 152), (117, 152)), ((117, 152), (141, 152))]","(28, 56, 158, 132)"
32,"[((113, 157), (155, 108)), ((155, 108), (176, 82)), ((176, 82), (181, 77)), ((181, 77), (171, 87)), ((113, 157), (97, 76)), ((97, 76), (118, 61)), ((118, 61), (139, 66)), ((139, 66), (155, 72)), ((113, 157), (86, 98)), ((86, 98), (108, 82)), ((108, 82), (144, 87)), ((144, 87), (165, 87)), ((113, 157), (81, 125)), ((81, 125), (107, 109)), ((107, 109), (139, 109)), ((139, 109), (160, 109)), ((113, 157), (92, 146)), ((92, 146), (107, 141)), ((107, 141), (133, 135)), ((133, 135), (149, 135))]","(41, 50, 156, 159)"
33,"[((115, 125), (130, 111)), ((130, 111), (153, 82)), ((153, 82), (159, 73)), ((159, 73), (158, 73)), ((115, 125), (73, 73)), ((73, 73), (92, 63)), ((92, 63), (120, 68)), ((120, 68), (130, 68)), ((115, 125), (54, 97)), ((54, 97), (82, 83)), ((82, 83), (120, 87)), ((120, 87), (139, 87)), ((115, 125), (59, 125)), ((59, 125), (78, 111)), ((78, 111), (111, 115)), ((111, 115), (130, 115)), ((115, 125), (64, 149)), ((64, 149), (73, 144)), ((73, 144), (97, 140)), ((97, 140), (101, 140))]","(29, 50, 144, 137)"
34,"[((114, 125), (137, 92)), ((137, 92), (155, 82)), ((155, 82), (160, 73)), ((160, 73), (151, 82)), ((114, 125), (72, 73)), ((72, 73), (95, 63)), ((95, 63), (123, 69)), ((123, 69), (128, 69)), ((114, 125), (58, 97)), ((58, 97), (85, 83)), ((85, 83), (119, 88)), ((119, 88), (141, 87)), ((114, 125), (62, 125)), ((62, 125), (81, 111)), ((81, 111), (114, 115)), ((114, 115), (133, 115)), ((114, 125), (67, 153)), ((67, 153), (76, 144)), ((76, 144), (95, 140)), ((95, 140), (104, 139))]","(31, 51, 144, 139)"
35,"[((120, 131), (135, 112)), ((135, 112), (158, 83)), ((158, 83), (163, 78)), ((163, 78), (163, 73)), ((120, 131), (73, 74)), ((73, 74), (97, 64)), ((97, 64), (125, 73)), ((125, 73), (144, 78)), ((120, 131), (59, 102)), ((59, 102), (87, 88)), ((87, 88), (125, 92)), ((125, 92), (149, 92)), ((120, 131), (64, 126)), ((64, 126), (83, 116)), ((83, 116), (116, 117)), ((116, 117), (135, 117)), ((120, 131), (68, 150)), ((68, 150), (82, 146)), ((82, 146), (106, 141)), ((106, 141), (111, 141))]","(31, 53, 147, 134)"
36,"[((0, 0), (0, 0)), ((0, 0), (0, 0)), ((166, 87), (175, 77)), ((175, 77), (171, 78)), ((105, 158), (82, 73)), ((82, 73), (110, 63)), ((110, 63), (138, 72)), ((138, 72), (156, 82)), ((105, 158), (72, 101)), ((72, 101), (100, 86)), ((100, 86), (138, 91)), ((138, 91), (157, 91)), ((105, 158), (72, 125)), ((72, 125), (95, 111)), ((95, 111), (129, 111)), ((129, 111), (152, 115)), ((105, 158), (77, 157)), ((77, 157), (87, 143)), ((87, 143), (110, 139)), ((110, 139), (124, 138))]","(27, 52, 162, 138)"
37,"[((133, 188), (139, 145)), ((139, 145), (144, 108)), ((144, 108), (151, 64)), ((151, 64), (139, 40)), ((133, 188), (176, 139)), ((176, 139), (213, 108)), ((213, 108), (238, 89)), ((238, 89), (257, 71)), ((133, 188), (195, 164)), ((195, 164), (244, 127)), ((244, 127), (275, 102)), ((275, 102), (294, 89)), ((133, 188), (213, 182)), ((213, 182), (250, 157)), ((250, 157), (281, 139)), ((281, 139), (306, 126)), ((133, 188), (220, 201)), ((220, 201), (250, 194)), ((250, 194), (275, 182)), ((275, 182), (294, 170))]","(61, 34, 250, 202)"
38,"[((142, 194), (148, 156)), ((148, 156), (142, 112)), ((142, 112), (148, 73)), ((148, 73), (136, 47)), ((142, 194), (180, 149)), ((180, 149), (218, 112)), ((218, 112), (243, 92)), ((243, 92), (263, 73)), ((142, 194), (200, 169)), ((200, 169), (243, 137)), ((243, 137), (275, 112)), ((275, 112), (300, 98)), ((142, 194), (218, 188)), ((218, 188), (256, 163)), ((256, 163), (282, 149)), ((282, 149), (307, 131)), ((142, 194), (230, 207)), ((230, 207), (257, 200)), ((257, 200), (281, 188)), ((281, 188), (300, 176))]","(63, 43, 256, 202)"
39,"[((136, 187), (143, 149)), ((143, 149), (142, 111)), ((142, 111), (143, 72)), ((143, 72), (130, 47)), ((136, 187), (186, 142)), ((186, 142), (218, 111)), ((218, 111), (244, 91)), ((244, 91), (263, 78)), ((136, 187), (205, 168)), ((205, 168), (244, 136)), ((244, 136), (275, 111)), ((275, 111), (300, 98)), ((136, 187), (218, 187)), ((218, 187), (256, 161)), ((256, 161), (282, 143)), ((282, 143), (307, 130)), ((136, 187), (225, 206)), ((225, 206), (256, 199)), ((256, 199), (275, 187)), ((275, 187), (300, 174))]","(62, 41, 254, 194)"
40,"[((194, 178), (194, 131)), ((194, 131), (84, 160)), ((84, 160), (66, 137)), ((66, 137), (66, 119)), ((194, 178), (118, 184)), ((118, 184), (89, 160)), ((89, 160), (67, 114)), ((67, 114), (60, 102)), ((194, 178), (136, 166)), ((136, 166), (101, 113)), ((101, 113), (83, 90)), ((83, 90), (67, 78)), ((194, 178), (153, 154)), ((153, 154), (136, 90)), ((136, 90), (119, 67)), ((119, 67), (108, 55)), ((194, 178), (171, 137)), ((171, 137), (142, 90)), ((142, 90), (113, 55)), ((113, 55), (107, 50))]","(50, 34, 198, 191)"
41,"[((155, 180), (161, 143)), ((161, 143), (155, 101)), ((155, 101), (155, 64)), ((155, 64), (143, 39)), ((155, 180), (192, 143)), ((192, 143), (234, 106)), ((234, 106), (258, 88)), ((258, 88), (277, 70)), ((155, 180), (210, 167)), ((210, 167), (253, 131)), ((253, 131), (283, 107)), ((283, 107), (308, 94)), ((155, 180), (222, 186)), ((222, 186), (265, 161)), ((265, 161), (295, 143)), ((295, 143), (320, 125)), ((155, 180), (235, 204)), ((235, 204), (265, 192)), ((265, 192), (289, 186)), ((289, 186), (307, 174))]","(78, 33, 248, 199)"
42,"[((195, 174), (201, 133)), ((201, 133), (95, 163)), ((95, 163), (72, 150)), ((72, 150), (61, 127)), ((195, 174), (125, 186)), ((125, 186), (84, 138)), ((84, 138), (66, 115)), ((66, 115), (55, 103)), ((195, 174), (137, 168)), ((137, 168), (107, 115)), ((107, 115), (79, 85)), ((79, 85), (67, 73)), ((195, 174), (154, 151)), ((154, 151), (142, 91)), ((142, 91), (125, 68)), ((125, 68), (113, 56)), ((195, 174), (172, 133)), ((172, 133), (143, 86)), ((143, 86), (119, 56)), ((119, 56), (108, 56))]","(53, 35, 206, 190)"
43,"[((205, 186), (217, 142)), ((217, 142), (136, 199)), ((136, 199), (91, 161)), ((91, 161), (72, 142)), ((205, 186), (135, 193)), ((135, 193), (104, 142)), ((104, 142), (84, 123)), ((84, 123), (66, 104)), ((205, 186), (154, 179)), ((154, 179), (122, 123)), ((122, 123), (97, 97)), ((97, 97), (79, 79)), ((205, 186), (173, 161)), ((173, 161), (154, 104)), ((154, 104), (135, 78)), ((135, 78), (123, 60)), ((205, 186), (192, 148)), ((192, 148), (160, 98)), ((160, 98), (142, 78)), ((142, 78), (255, 53))]","(61, 48, 217, 194)"
44,"[((82, 153), (77, 110)), ((77, 110), (71, 72)), ((71, 72), (77, 34)), ((77, 34), (67, 8)), ((82, 153), (93, 105)), ((93, 105), (141, 83)), ((141, 83), (189, 72)), ((189, 72), (211, 67)), ((82, 153), (109, 132)), ((109, 132), (157, 99)), ((157, 99), (189, 77)), ((189, 77), (200, 67)), ((82, 153), (125, 153)), ((125, 153), (168, 126)), ((168, 126), (200, 105)), ((200, 105), (221, 88)), ((82, 153), (136, 175)), ((136, 175), (168, 164)), ((168, 164), (205, 137)), ((205, 137), (205, 137))]","(9, 3, 220, 204)"
45,"[((206, 182), (212, 140)), ((212, 140), (134, 188)), ((134, 188), (230, 63)), ((230, 63), (248, 44)), ((206, 182), (134, 183)), ((134, 183), (104, 159)), ((104, 159), (86, 147)), ((86, 147), (69, 129)), ((206, 182), (152, 171)), ((152, 171), (104, 134)), ((104, 134), (80, 111)), ((80, 111), (62, 93)), ((206, 182), (170, 158)), ((170, 158), (110, 110)), ((110, 110), (92, 87)), ((92, 87), (74, 69)), ((206, 182), (188, 140)), ((188, 140), (110, 62)), ((110, 62), (110, 63)), ((110, 63), (110, 75))]","(55, 37, 219, 192)"
46,"[((91, 160), (85, 121)), ((85, 121), (69, 87)), ((69, 87), (74, 48)), ((74, 48), (64, 20)), ((91, 160), (90, 115)), ((90, 115), (135, 87)), ((135, 87), (157, 81)), ((157, 81), (185, 70)), ((91, 160), (108, 137)), ((108, 137), (151, 103)), ((151, 103), (180, 81)), ((180, 81), (196, 70)), ((91, 160), (130, 149)), ((130, 149), (168, 121)), ((168, 121), (191, 104)), ((191, 104), (212, 92)), ((91, 160), (141, 177)), ((141, 177), (196, 138)), ((196, 138), (196, 138)), ((196, 138), (179, 154))]","(17, 17, 206, 232)"
