label,points,ratio
11,"[((69, 80), (78, 73)), ((78, 73), (87, 61)), ((87, 61), (94, 51)), ((94, 51), (100, 39)), ((69, 80), (72, 63)), ((72, 63), (69, 57)), ((69, 57), (69, 54)), ((69, 54), (68, 51)), ((69, 80), (65, 73)), ((65, 73), (60, 67)), ((60, 67), (59, 64)), ((59, 64), (56, 63)), ((69, 80), (63, 85)), ((63, 85), (56, 82)), ((56, 82), (50, 79)), ((50, 79), (47, 77)), ((69, 80), (63, 95)), ((63, 95), (59, 98)), ((59, 98), (54, 101)), ((54, 101), (50, 101))]","(34, 36, 109, 69)"
12,"[((69, 82), (78, 76)), ((78, 76), (88, 65)), ((88, 65), (95, 53)), ((95, 53), (101, 40)), ((69, 82), (72, 69)), ((72, 69), (69, 66)), ((69, 66), (72, 62)), ((72, 62), (59, 72)), ((69, 82), (66, 79)), ((66, 79), (52, 79)), ((52, 79), (49, 79)), ((49, 79), (53, 85)), ((69, 82), (66, 89)), ((66, 89), (59, 92)), ((59, 92), (46, 95)), ((46, 95), (43, 98)), ((69, 82), (68, 98)), ((68, 98), (63, 102)), ((63, 102), (59, 105)), ((59, 105), (56, 108))]","(35, 38, 108, 74)"
13,"[((69, 74), (78, 68)), ((78, 68), (84, 52)), ((84, 52), (87, 40)), ((87, 40), (88, 27)), ((69, 74), (65, 59)), ((65, 59), (62, 62)), ((62, 62), (58, 62)), ((58, 62), (52, 65)), ((69, 74), (62, 72)), ((62, 72), (46, 78)), ((46, 78), (46, 81)), ((46, 81), (55, 81)), ((69, 74), (65, 81)), ((65, 81), (49, 97)), ((49, 97), (49, 94)), ((0, 0), (0, 0)), ((69, 74), (71, 90)), ((71, 90), (68, 94)), ((68, 94), (65, 97)), ((65, 97), (62, 100))]","(39, 25, 57, 79)"
14,"[((77, 77), (83, 67)), ((83, 67), (87, 54)), ((87, 54), (87, 41)), ((87, 41), (87, 31)), ((77, 77), (67, 60)), ((67, 60), (57, 60)), ((57, 60), (54, 60)), ((54, 60), (51, 63)), ((77, 77), (63, 73)), ((63, 73), (57, 73)), ((57, 73), (54, 73)), ((54, 73), (51, 77)), ((77, 77), (64, 83)), ((64, 83), (57, 87)), ((57, 87), (54, 90)), ((54, 90), (51, 93)), ((77, 77), (74, 93)), ((74, 93), (70, 100)), ((70, 100), (67, 103)), ((67, 103), (63, 106))]","(48, 27, 48, 82)"
15,"[((73, 80), (80, 70)), ((80, 70), (83, 57)), ((83, 57), (83, 44)), ((83, 44), (83, 31)), ((73, 80), (63, 64)), ((63, 64), (56, 61)), ((56, 61), (50, 64)), ((50, 64), (47, 67)), ((73, 80), (60, 77)), ((60, 77), (53, 77)), ((53, 77), (47, 80)), ((47, 80), (46, 83)), ((73, 80), (63, 87)), ((63, 87), (56, 90)), ((56, 90), (50, 94)), ((50, 94), (46, 97)), ((73, 80), (70, 94)), ((70, 94), (66, 101)), ((66, 101), (63, 107)), ((63, 107), (60, 111))]","(44, 28, 50, 86)"
16,"[((74, 81), (80, 71)), ((80, 71), (83, 57)), ((83, 57), (80, 44)), ((80, 44), (80, 31)), ((74, 81), (60, 64)), ((60, 64), (51, 65)), ((51, 65), (47, 68)), ((47, 68), (41, 74)), ((74, 81), (57, 77)), ((57, 77), (47, 81)), ((47, 81), (41, 84)), ((41, 84), (41, 88)), ((74, 81), (61, 87)), ((61, 87), (51, 94)), ((51, 94), (44, 101)), ((44, 101), (41, 104)), ((74, 81), (67, 97)), ((67, 97), (63, 104)), ((63, 104), (57, 114)), ((57, 114), (57, 114))]","(38, 28, 54, 91)"
17,"[((80, 81), (84, 70)), ((84, 70), (86, 54)), ((86, 54), (83, 44)), ((83, 44), (83, 31)), ((80, 81), (63, 64)), ((63, 64), (51, 67)), ((51, 67), (47, 70)), ((47, 70), (44, 74)), ((80, 81), (61, 77)), ((61, 77), (51, 81)), ((51, 81), (44, 84)), ((44, 84), (44, 87)), ((80, 81), (64, 87)), ((64, 87), (54, 94)), ((54, 94), (48, 101)), ((48, 101), (44, 104)), ((80, 81), (71, 97)), ((71, 97), (67, 106)), ((67, 106), (63, 113)), ((63, 113), (58, 117))]","(39, 28, 56, 93)"
18,"[((83, 80), (86, 70)), ((86, 70), (89, 57)), ((89, 57), (86, 44)), ((86, 44), (83, 31)), ((83, 80), (66, 64)), ((66, 64), (53, 70)), ((53, 70), (47, 73)), ((47, 73), (47, 77)), ((83, 80), (66, 77)), ((66, 77), (53, 84)), ((53, 84), (47, 90)), ((47, 90), (46, 94)), ((83, 80), (69, 87)), ((69, 87), (57, 97)), ((57, 97), (53, 104)), ((53, 104), (47, 107)), ((83, 80), (76, 97)), ((76, 97), (73, 107)), ((73, 107), (69, 114)), ((69, 114), (63, 120))]","(43, 29, 56, 94)"
19,"[((79, 80), (82, 70)), ((82, 70), (82, 57)), ((82, 57), (79, 44)), ((79, 44), (76, 31)), ((79, 80), (57, 67)), ((57, 67), (47, 70)), ((47, 70), (40, 74)), ((40, 74), (40, 77)), ((79, 80), (59, 77)), ((59, 77), (49, 83)), ((49, 83), (43, 90)), ((43, 90), (40, 93)), ((79, 80), (63, 87)), ((63, 87), (53, 97)), ((53, 97), (47, 103)), ((47, 103), (40, 109)), ((79, 80), (70, 96)), ((70, 96), (66, 107)), ((66, 107), (63, 113)), ((63, 113), (57, 119))]","(36, 29, 57, 95)"
20,"[((76, 79), (79, 67)), ((79, 67), (82, 54)), ((82, 54), (79, 43)), ((79, 43), (76, 30)), ((76, 79), (59, 63)), ((59, 63), (50, 67)), ((50, 67), (43, 73)), ((43, 73), (40, 76)), ((76, 79), (59, 76)), ((59, 76), (47, 83)), ((47, 83), (43, 86)), ((43, 86), (40, 92)), ((76, 79), (63, 86)), ((63, 86), (53, 96)), ((53, 96), (47, 102)), ((47, 102), (40, 108)), ((76, 79), (69, 95)), ((69, 95), (66, 108)), ((66, 108), (60, 115)), ((60, 115), (56, 118))]","(36, 27, 56, 94)"
21,"[((80, 81), (83, 71)), ((83, 71), (83, 58)), ((83, 58), (80, 48)), ((80, 48), (77, 35)), ((80, 81), (61, 68)), ((61, 68), (51, 71)), ((51, 71), (47, 75)), ((47, 75), (41, 81)), ((80, 81), (60, 79)), ((60, 79), (50, 85)), ((50, 85), (44, 92)), ((44, 92), (41, 95)), ((80, 81), (64, 89)), ((64, 89), (54, 99)), ((54, 99), (50, 105)), ((50, 105), (44, 112)), ((80, 81), (70, 98)), ((70, 98), (67, 112)), ((67, 112), (64, 118)), ((64, 118), (60, 122))]","(40, 32, 54, 94)"
22,"[((73, 80), (76, 69)), ((76, 69), (79, 56)), ((79, 56), (76, 44)), ((76, 44), (73, 34)), ((73, 80), (56, 66)), ((56, 66), (47, 70)), ((47, 70), (40, 76)), ((40, 76), (37, 79)), ((73, 80), (56, 79)), ((56, 79), (46, 86)), ((46, 86), (40, 90)), ((40, 90), (37, 95)), ((73, 80), (60, 89)), ((60, 89), (50, 96)), ((50, 96), (46, 105)), ((46, 105), (40, 109)), ((73, 80), (66, 96)), ((66, 96), (63, 109)), ((63, 109), (57, 118)), ((57, 118), (54, 122))]","(34, 30, 54, 95)"
23,"[((75, 78), (79, 69)), ((79, 69), (81, 56)), ((81, 56), (79, 43)), ((79, 43), (76, 33)), ((75, 78), (59, 65)), ((59, 65), (49, 69)), ((49, 69), (43, 75)), ((43, 75), (40, 79)), ((75, 78), (56, 78)), ((56, 78), (47, 85)), ((47, 85), (43, 91)), ((43, 91), (40, 95)), ((75, 78), (60, 88)), ((60, 88), (53, 95)), ((53, 95), (49, 101)), ((49, 101), (43, 110)), ((75, 78), (68, 97)), ((68, 97), (66, 108)), ((66, 108), (63, 117)), ((63, 117), (59, 121))]","(36, 29, 53, 96)"
24,"[((74, 78), (78, 69)), ((78, 69), (78, 56)), ((78, 56), (78, 44)), ((78, 44), (75, 33)), ((74, 78), (59, 66)), ((59, 66), (49, 69)), ((49, 69), (43, 75)), ((43, 75), (40, 79)), ((74, 78), (56, 79)), ((56, 79), (46, 85)), ((46, 85), (43, 89)), ((43, 89), (39, 95)), ((74, 78), (59, 89)), ((59, 89), (52, 95)), ((52, 95), (49, 102)), ((49, 102), (40, 111)), ((74, 78), (65, 95)), ((65, 95), (62, 108)), ((62, 108), (62, 115)), ((62, 115), (56, 121))]","(36, 30, 52, 93)"
25,"[((72, 76), (75, 69)), ((75, 69), (76, 56)), ((76, 56), (75, 44)), ((75, 44), (73, 33)), ((72, 76), (56, 66)), ((56, 66), (47, 70)), ((47, 70), (43, 76)), ((43, 76), (40, 80)), ((72, 76), (53, 79)), ((53, 79), (46, 85)), ((46, 85), (40, 89)), ((40, 89), (37, 96)), ((72, 76), (56, 89)), ((56, 89), (50, 96)), ((50, 96), (46, 103)), ((46, 103), (39, 112)), ((72, 76), (63, 96)), ((63, 96), (62, 108)), ((62, 108), (59, 115)), ((59, 115), (53, 122))]","(35, 30, 51, 95)"
26,"[((58, 72), (58, 65)), ((58, 65), (54, 55)), ((54, 55), (51, 51)), ((51, 51), (50, 45)), ((58, 72), (67, 71)), ((67, 71), (77, 75)), ((77, 75), (81, 81)), ((81, 81), (87, 85)), ((58, 72), (68, 82)), ((68, 82), (74, 88)), ((74, 88), (81, 95)), ((81, 95), (87, 105)), ((58, 72), (67, 92)), ((67, 92), (70, 104)), ((70, 104), (74, 115)), ((74, 115), (78, 125)), ((58, 72), (61, 102)), ((61, 102), (61, 112)), ((61, 112), (64, 118)), ((64, 118), (68, 128))]","(46, 42, 54, 88)"
27,"[((61, 72), (58, 65)), ((58, 65), (54, 58)), ((54, 58), (54, 51)), ((54, 51), (51, 42)), ((61, 72), (54, 91)), ((54, 91), (64, 111)), ((64, 111), (67, 119)), ((67, 119), (71, 125)), ((61, 72), (67, 88)), ((67, 88), (71, 102)), ((71, 102), (74, 111)), ((74, 111), (78, 121)), ((61, 72), (77, 85)), ((77, 85), (77, 91)), ((77, 91), (84, 95)), ((84, 95), (91, 102)), ((61, 72), (84, 75)), ((84, 75), (87, 74)), ((87, 74), (81, 78)), ((81, 78), (91, 88))]","(46, 40, 51, 88)"
28,"[((69, 70), (62, 63)), ((62, 63), (56, 54)), ((56, 54), (59, 47)), ((59, 47), (57, 40)), ((69, 70), (60, 89)), ((60, 89), (69, 109)), ((69, 109), (73, 116)), ((73, 116), (78, 121)), ((69, 70), (72, 86)), ((72, 86), (79, 102)), ((79, 102), (82, 109)), ((82, 109), (88, 116)), ((69, 70), (79, 80)), ((79, 80), (89, 89)), ((89, 89), (95, 95)), ((95, 95), (98, 99)), ((69, 70), (85, 70)), ((85, 70), (89, 76)), ((89, 76), (92, 77)), ((92, 77), (98, 82))]","(49, 37, 53, 88)"
29,"[((66, 71), (60, 63)), ((60, 63), (57, 51)), ((57, 51), (60, 44)), ((60, 44), (60, 40)), ((66, 71), (66, 93)), ((66, 93), (69, 106)), ((69, 106), (73, 113)), ((73, 113), (79, 119)), ((66, 71), (73, 86)), ((73, 86), (79, 100)), ((79, 100), (83, 106)), ((83, 106), (89, 116)), ((66, 71), (80, 80)), ((80, 80), (86, 86)), ((86, 86), (93, 93)), ((93, 93), (99, 97)), ((66, 71), (86, 73)), ((86, 73), (89, 73)), ((89, 73), (95, 77)), ((95, 77), (99, 80))]","(49, 36, 57, 87)"
30,"[((65, 66), (58, 59)), ((58, 59), (55, 50)), ((55, 50), (58, 43)), ((58, 43), (59, 37)), ((65, 66), (65, 92)), ((65, 92), (68, 102)), ((68, 102), (71, 111)), ((71, 111), (78, 117)), ((65, 66), (72, 82)), ((72, 82), (78, 95)), ((78, 95), (84, 105)), ((84, 105), (90, 112)), ((65, 66), (78, 76)), ((78, 76), (84, 82)), ((84, 82), (94, 89)), ((94, 89), (100, 95)), ((65, 66), (81, 69)), ((81, 69), (84, 69)), ((84, 69), (93, 72)), ((93, 72), (100, 76))]","(47, 33, 60, 86)"
31,"[((62, 69), (58, 62)), ((58, 62), (56, 52)), ((56, 52), (58, 45)), ((58, 45), (61, 39)), ((62, 69), (65, 96)), ((65, 96), (72, 109)), ((72, 109), (75, 116)), ((75, 116), (82, 119)), ((62, 69), (72, 86)), ((72, 86), (82, 100)), ((82, 100), (86, 109)), ((86, 109), (92, 116)), ((62, 69), (79, 79)), ((79, 79), (89, 86)), ((89, 86), (99, 93)), ((99, 93), (103, 96)), ((62, 69), (85, 72)), ((85, 72), (86, 72)), ((86, 72), (95, 76)), ((95, 76), (102, 79))]","(47, 36, 62, 87)"
32,"[((59, 70), (53, 63)), ((53, 63), (53, 53)), ((53, 53), (57, 47)), ((57, 47), (60, 40)), ((59, 70), (73, 66)), ((73, 66), (86, 70)), ((86, 70), (93, 73)), ((93, 73), (102, 77)), ((59, 70), (76, 76)), ((76, 76), (86, 83)), ((86, 83), (96, 89)), ((96, 89), (105, 95)), ((59, 70), (73, 86)), ((73, 86), (80, 99)), ((80, 99), (86, 105)), ((86, 105), (92, 112)), ((59, 70), (66, 96)), ((66, 96), (70, 105)), ((70, 105), (76, 112)), ((76, 112), (82, 118))]","(43, 36, 65, 84)"
33,"[((57, 72), (54, 62)), ((54, 62), (57, 54)), ((57, 54), (60, 48)), ((60, 48), (64, 42)), ((57, 72), (64, 95)), ((64, 95), (71, 105)), ((71, 105), (77, 112)), ((77, 112), (84, 119)), ((57, 72), (74, 85)), ((74, 85), (83, 99)), ((83, 99), (90, 108)), ((90, 108), (97, 115)), ((57, 72), (77, 78)), ((77, 78), (90, 88)), ((90, 88), (100, 92)), ((100, 92), (107, 98)), ((57, 72), (80, 69)), ((80, 69), (90, 72)), ((90, 72), (97, 75)), ((97, 75), (104, 81))]","(46, 39, 66, 85)"
34,"[((60, 73), (59, 66)), ((59, 66), (59, 56)), ((59, 56), (63, 49)), ((63, 49), (66, 45)), ((60, 73), (69, 94)), ((69, 94), (76, 107)), ((76, 107), (80, 114)), ((80, 114), (87, 121)), ((60, 73), (76, 87)), ((76, 87), (87, 101)), ((87, 101), (94, 110)), ((94, 110), (100, 117)), ((60, 73), (80, 80)), ((80, 80), (94, 90)), ((94, 90), (104, 94)), ((104, 94), (111, 100)), ((60, 73), (83, 70)), ((83, 70), (94, 76)), ((94, 76), (104, 79)), ((104, 79), (108, 83))]","(47, 41, 68, 85)"
35,"[((65, 72), (64, 65)), ((64, 65), (64, 58)), ((64, 58), (68, 51)), ((68, 51), (75, 47)), ((65, 72), (75, 96)), ((75, 96), (82, 107)), ((82, 107), (89, 114)), ((89, 114), (96, 121)), ((65, 72), (82, 89)), ((82, 89), (96, 103)), ((96, 103), (103, 110)), ((103, 110), (110, 118)), ((65, 72), (89, 82)), ((89, 82), (103, 90)), ((103, 90), (113, 96)), ((113, 96), (120, 100)), ((65, 72), (89, 72)), ((89, 72), (103, 75)), ((103, 75), (110, 79)), ((110, 79), (117, 83))]","(53, 42, 72, 83)"
36,"[((58, 77), (61, 67)), ((61, 67), (65, 59)), ((65, 59), (72, 52)), ((72, 52), (76, 48)), ((58, 77), (75, 98)), ((75, 98), (83, 110)), ((83, 110), (90, 120)), ((90, 120), (97, 124)), ((58, 77), (83, 91)), ((83, 91), (94, 103)), ((94, 103), (104, 113)), ((104, 113), (111, 120)), ((58, 77), (87, 84)), ((87, 84), (101, 91)), ((101, 91), (111, 95)), ((111, 95), (121, 102)), ((58, 77), (89, 74)), ((89, 74), (101, 77)), ((101, 77), (111, 81)), ((111, 81), (118, 85))]","(51, 43, 75, 84)"
37,"[((68, 76), (69, 66)), ((69, 66), (72, 58)), ((72, 58), (72, 55)), ((72, 55), (83, 51)), ((68, 76), (94, 69)), ((94, 69), (111, 76)), ((111, 76), (118, 76)), ((118, 76), (129, 83)), ((68, 76), (94, 83)), ((94, 83), (111, 87)), ((111, 87), (122, 94)), ((122, 94), (132, 98)), ((68, 76), (90, 90)), ((90, 90), (104, 101)), ((104, 101), (112, 108)), ((112, 108), (122, 116)), ((68, 76), (83, 98)), ((83, 98), (93, 108)), ((93, 108), (100, 115)), ((100, 115), (108, 119))]","(54, 43, 84, 80)"
38,"[((72, 77), (73, 70)), ((73, 70), (69, 63)), ((69, 63), (73, 56)), ((73, 56), (87, 52)), ((72, 77), (94, 73)), ((94, 73), (111, 77)), ((111, 77), (122, 80)), ((122, 80), (129, 85)), ((72, 77), (94, 85)), ((94, 85), (112, 91)), ((112, 91), (122, 95)), ((122, 95), (133, 99)), ((72, 77), (90, 95)), ((90, 95), (104, 103)), ((104, 103), (112, 113)), ((112, 113), (122, 120)), ((72, 77), (83, 102)), ((83, 102), (94, 113)), ((94, 113), (100, 117)), ((100, 117), (108, 124))]","(52, 46, 87, 80)"
39,"[((41, 59), (58, 52)), ((58, 52), (75, 46)), ((75, 46), (89, 49)), ((89, 49), (102, 49)), ((41, 59), (72, 62)), ((72, 62), (85, 73)), ((85, 73), (98, 80)), ((98, 80), (109, 87)), ((41, 59), (65, 73)), ((65, 73), (82, 87)), ((82, 87), (96, 97)), ((96, 97), (109, 103)), ((41, 59), (62, 83)), ((62, 83), (75, 94)), ((75, 94), (89, 103)), ((89, 103), (102, 107)), ((41, 59), (58, 89)), ((58, 89), (72, 97)), ((72, 97), (82, 103)), ((82, 103), (88, 104))]","(3, 39, 110, 72)"
40,"[((66, 78), (70, 68)), ((70, 68), (74, 60)), ((74, 60), (88, 56)), ((88, 56), (91, 56)), ((66, 78), (95, 75)), ((95, 75), (113, 79)), ((113, 79), (121, 82)), ((121, 82), (131, 86)), ((66, 78), (95, 86)), ((95, 86), (113, 93)), ((113, 93), (124, 97)), ((124, 97), (135, 101)), ((66, 78), (92, 96)), ((92, 96), (106, 104)), ((106, 104), (114, 112)), ((114, 112), (124, 119)), ((66, 78), (85, 104)), ((85, 104), (96, 115)), ((96, 115), (102, 119)), ((102, 119), (110, 123))]","(41, 50, 99, 78)"
41,"[((66, 78), (70, 70)), ((70, 70), (74, 60)), ((74, 60), (77, 56)), ((77, 56), (92, 56)), ((66, 78), (96, 74)), ((96, 74), (110, 78)), ((110, 78), (121, 81)), ((121, 81), (129, 85)), ((66, 78), (95, 88)), ((95, 88), (114, 92)), ((114, 92), (125, 93)), ((125, 93), (135, 100)), ((66, 78), (92, 96)), ((92, 96), (103, 104)), ((103, 104), (114, 111)), ((114, 111), (125, 118)), ((66, 78), (85, 103)), ((85, 103), (96, 111)), ((96, 111), (103, 118)), ((103, 118), (110, 122))]","(35, 50, 105, 76)"
42,"[((68, 75), (71, 71)), ((71, 71), (72, 64)), ((72, 64), (75, 61)), ((0, 0), (0, 0)), ((68, 75), (86, 101)), ((86, 101), (97, 112)), ((97, 112), (105, 119)), ((105, 119), (112, 120)), ((68, 75), (94, 94)), ((94, 94), (108, 105)), ((108, 105), (119, 112)), ((119, 112), (127, 120)), ((68, 75), (97, 86)), ((97, 86), (116, 93)), ((116, 93), (127, 97)), ((127, 97), (138, 101)), ((68, 75), (97, 75)), ((97, 75), (116, 79)), ((116, 79), (124, 82)), ((124, 82), (134, 86))]","(50, 50, 92, 76)"
43,"[((68, 80), (76, 69)), ((76, 69), (80, 61)), ((80, 61), (94, 61)), ((94, 61), (101, 58)), ((68, 80), (101, 76)), ((101, 76), (117, 79)), ((117, 79), (128, 80)), ((128, 80), (136, 84)), ((68, 80), (98, 87)), ((98, 87), (120, 91)), ((120, 91), (131, 95)), ((131, 95), (139, 99)), ((68, 80), (98, 95)), ((98, 95), (113, 103)), ((113, 103), (121, 110)), ((121, 110), (131, 117)), ((68, 80), (91, 102)), ((91, 102), (102, 113)), ((102, 113), (109, 117)), ((109, 117), (117, 121))]","(51, 51, 94, 72)"
44,"[((45, 65), (62, 59)), ((62, 59), (79, 52)), ((79, 52), (96, 55)), ((96, 55), (109, 56)), ((45, 65), (79, 69)), ((79, 69), (96, 76)), ((96, 76), (107, 83)), ((107, 83), (117, 90)), ((45, 65), (76, 79)), ((76, 79), (93, 92)), ((93, 92), (106, 99)), ((106, 99), (119, 106)), ((45, 65), (72, 89)), ((72, 89), (86, 99)), ((86, 99), (100, 106)), ((100, 106), (113, 113)), ((45, 65), (68, 96)), ((68, 96), (82, 103)), ((82, 103), (92, 109)), ((92, 109), (99, 110))]","(3, 45, 120, 70)"
45,"[((64, 80), (72, 72)), ((72, 72), (76, 61)), ((76, 61), (87, 58)), ((87, 58), (102, 57)), ((64, 80), (98, 76)), ((98, 76), (114, 76)), ((114, 76), (124, 79)), ((124, 79), (135, 80)), ((64, 80), (98, 84)), ((98, 84), (117, 88)), ((117, 88), (128, 91)), ((128, 91), (136, 95)), ((64, 80), (95, 95)), ((95, 95), (109, 102)), ((109, 102), (117, 106)), ((117, 106), (128, 113)), ((64, 80), (91, 102)), ((91, 102), (99, 110)), ((99, 110), (106, 114)), ((106, 114), (113, 117))]","(47, 51, 94, 70)"
46,"[((61, 80), (71, 72)), ((71, 72), (75, 64)), ((75, 64), (86, 58)), ((86, 58), (101, 57)), ((61, 80), (86, 99)), ((86, 99), (97, 109)), ((97, 109), (104, 114)), ((104, 114), (112, 114)), ((61, 80), (93, 91)), ((93, 91), (108, 99)), ((108, 99), (119, 106)), ((119, 106), (126, 110)), ((61, 80), (97, 84)), ((97, 84), (115, 88)), ((115, 88), (126, 91)), ((126, 91), (134, 94)), ((61, 80), (97, 76)), ((97, 76), (115, 76)), ((115, 76), (123, 76)), ((123, 76), (130, 80))]","(45, 51, 94, 68)"
