label,points,ratio
11,"[((73, 99), (66, 99)), ((66, 99), (52, 88)), ((52, 88), (41, 80)), ((41, 80), (34, 70)), ((73, 99), (88, 99)), ((88, 99), (98, 95)), ((98, 95), (106, 88)), ((106, 88), (113, 84)), ((73, 99), (84, 91)), ((84, 91), (99, 81)), ((99, 81), (109, 74)), ((109, 74), (117, 70)), ((73, 99), (77, 84)), ((77, 84), (91, 69)), ((91, 69), (98, 60)), ((98, 60), (106, 52)), ((73, 99), (73, 77)), ((73, 77), (77, 62)), ((77, 62), (81, 52)), ((81, 52), (84, 44))]","(30, 42, 90, 99)"
12,"[((87, 106), (98, 98)), ((98, 98), (108, 87)), ((108, 87), (112, 76)), ((112, 76), (120, 66)), ((87, 106), (87, 76)), ((87, 76), (83, 62)), ((83, 62), (77, 52)), ((77, 52), (73, 44)), ((87, 106), (77, 80)), ((77, 80), (66, 66)), ((66, 66), (59, 55)), ((59, 55), (52, 48)), ((87, 106), (69, 87)), ((69, 87), (58, 76)), ((58, 76), (48, 66)), ((48, 66), (41, 59)), ((87, 106), (62, 95)), ((62, 95), (51, 91)), ((51, 91), (41, 84)), ((41, 84), (37, 80))]","(33, 41, 92, 93)"
13,"[((72, 102), (62, 99)), ((62, 99), (51, 88)), ((51, 88), (40, 77)), ((40, 77), (33, 70)), ((72, 102), (86, 99)), ((86, 99), (97, 92)), ((97, 92), (104, 88)), ((104, 88), (111, 84)), ((72, 102), (83, 88)), ((83, 88), (97, 81)), ((97, 81), (105, 74)), ((105, 74), (115, 69)), ((72, 102), (76, 81)), ((76, 81), (90, 67)), ((90, 67), (94, 59)), ((94, 59), (101, 52)), ((72, 102), (69, 74)), ((69, 74), (76, 62)), ((76, 62), (79, 52)), ((79, 52), (83, 44))]","(30, 42, 90, 97)"
14,"[((87, 106), (98, 98)), ((98, 98), (109, 84)), ((109, 84), (113, 76)), ((113, 76), (120, 66)), ((87, 106), (87, 76)), ((87, 76), (83, 62)), ((83, 62), (77, 52)), ((77, 52), (73, 44)), ((87, 106), (77, 80)), ((77, 80), (66, 66)), ((66, 66), (59, 55)), ((59, 55), (55, 48)), ((87, 106), (69, 88)), ((69, 88), (58, 76)), ((58, 76), (48, 66)), ((48, 66), (41, 59)), ((87, 106), (65, 95)), ((65, 95), (52, 91)), ((52, 91), (44, 87)), ((44, 87), (37, 80))]","(34, 41, 91, 93)"
15,"[((70, 99), (62, 99)), ((62, 99), (51, 89)), ((51, 89), (41, 81)), ((41, 81), (33, 71)), ((70, 99), (88, 103)), ((88, 103), (95, 96)), ((95, 96), (106, 92)), ((106, 92), (113, 85)), ((70, 99), (84, 92)), ((84, 92), (98, 82)), ((98, 82), (106, 78)), ((106, 78), (113, 73)), ((70, 99), (77, 85)), ((77, 85), (88, 70)), ((88, 70), (95, 63)), ((95, 63), (103, 55)), ((70, 99), (70, 78)), ((70, 78), (77, 63)), ((77, 63), (80, 56)), ((80, 56), (84, 45))]","(30, 44, 87, 98)"
16,"[((69, 100), (59, 99)), ((59, 99), (48, 92)), ((48, 92), (41, 81)), ((41, 81), (30, 71)), ((69, 100), (84, 103)), ((84, 103), (94, 96)), ((94, 96), (102, 92)), ((102, 92), (112, 85)), ((69, 100), (80, 92)), ((80, 92), (95, 82)), ((95, 82), (102, 78)), ((102, 78), (112, 71)), ((69, 100), (76, 85)), ((76, 85), (87, 70)), ((87, 70), (94, 63)), ((94, 63), (102, 55)), ((69, 100), (69, 78)), ((69, 78), (73, 63)), ((73, 63), (77, 56)), ((77, 56), (80, 45))]","(29, 44, 86, 98)"
17,"[((69, 100), (59, 100)), ((59, 100), (48, 89)), ((48, 89), (41, 81)), ((41, 81), (30, 71)), ((69, 100), (84, 103)), ((84, 103), (94, 96)), ((94, 96), (102, 92)), ((102, 92), (109, 86)), ((69, 100), (80, 93)), ((80, 93), (94, 85)), ((94, 85), (102, 78)), ((102, 78), (109, 71)), ((69, 100), (73, 85)), ((73, 85), (87, 71)), ((87, 71), (94, 63)), ((94, 63), (101, 56)), ((69, 100), (69, 78)), ((69, 78), (73, 64)), ((73, 64), (77, 56)), ((77, 56), (80, 46))]","(28, 45, 87, 97)"
18,"[((70, 99), (62, 99)), ((62, 99), (48, 88)), ((48, 88), (41, 77)), ((41, 77), (30, 70)), ((70, 99), (87, 99)), ((87, 99), (94, 95)), ((94, 95), (102, 91)), ((102, 91), (112, 84)), ((70, 99), (80, 92)), ((80, 92), (95, 81)), ((95, 81), (102, 77)), ((102, 77), (112, 70)), ((70, 99), (76, 84)), ((76, 84), (87, 70)), ((87, 70), (94, 62)), ((94, 62), (101, 52)), ((70, 99), (69, 77)), ((69, 77), (73, 63)), ((73, 63), (77, 55)), ((77, 55), (80, 45))]","(28, 43, 86, 97)"
19,"[((71, 101), (61, 97)), ((61, 97), (50, 87)), ((50, 87), (40, 76)), ((40, 76), (30, 69)), ((71, 101), (85, 98)), ((85, 98), (95, 94)), ((95, 94), (103, 87)), ((103, 87), (110, 83)), ((71, 101), (82, 87)), ((82, 87), (95, 80)), ((95, 80), (103, 73)), ((103, 73), (110, 69)), ((71, 101), (75, 80)), ((75, 80), (86, 66)), ((86, 66), (92, 59)), ((92, 59), (100, 51)), ((71, 101), (68, 76)), ((68, 76), (74, 62)), ((74, 62), (78, 51)), ((78, 51), (82, 44))]","(29, 41, 86, 98)"
20,"[((71, 97), (60, 94)), ((60, 94), (50, 86)), ((50, 86), (40, 76)), ((40, 76), (32, 68)), ((71, 97), (86, 97)), ((86, 97), (96, 90)), ((96, 90), (103, 87)), ((103, 87), (110, 83)), ((71, 97), (82, 89)), ((82, 89), (96, 79)), ((96, 79), (103, 73)), ((103, 73), (110, 68)), ((71, 97), (75, 79)), ((75, 79), (89, 65)), ((89, 65), (95, 58)), ((95, 58), (103, 51)), ((71, 97), (71, 72)), ((71, 72), (75, 58)), ((75, 58), (78, 51)), ((78, 51), (82, 44))]","(30, 41, 85, 97)"
21,"[((89, 104), (97, 94)), ((97, 94), (107, 83)), ((107, 83), (111, 72)), ((111, 72), (118, 65)), ((89, 104), (86, 72)), ((86, 72), (82, 61)), ((82, 61), (76, 51)), ((76, 51), (69, 44)), ((89, 104), (76, 79)), ((76, 79), (65, 65)), ((65, 65), (58, 55)), ((58, 55), (51, 47)), ((89, 104), (69, 86)), ((69, 86), (57, 75)), ((57, 75), (47, 68)), ((47, 68), (40, 61)), ((89, 104), (65, 94)), ((65, 94), (51, 90)), ((51, 90), (44, 86)), ((44, 86), (33, 79))]","(32, 41, 91, 89)"
22,"[((71, 96), (60, 93)), ((60, 93), (50, 86)), ((50, 86), (43, 75)), ((43, 75), (33, 68)), ((71, 96), (88, 97)), ((88, 97), (95, 92)), ((95, 92), (105, 86)), ((105, 86), (112, 82)), ((71, 96), (84, 86)), ((84, 86), (95, 79)), ((95, 79), (105, 72)), ((105, 72), (112, 68)), ((71, 96), (78, 79)), ((78, 79), (88, 65)), ((88, 65), (95, 58)), ((95, 58), (102, 50)), ((71, 96), (71, 72)), ((71, 72), (75, 58)), ((75, 58), (78, 51)), ((78, 51), (84, 43))]","(31, 40, 85, 98)"
23,"[((87, 105), (98, 95)), ((98, 95), (108, 84)), ((108, 84), (112, 73)), ((112, 73), (119, 66)), ((87, 105), (87, 76)), ((87, 76), (80, 62)), ((80, 62), (76, 52)), ((76, 52), (70, 44)), ((87, 105), (76, 80)), ((76, 80), (66, 66)), ((66, 66), (59, 58)), ((59, 58), (52, 51)), ((87, 105), (69, 88)), ((69, 88), (55, 76)), ((55, 76), (48, 69)), ((48, 69), (41, 62)), ((87, 105), (65, 98)), ((65, 98), (52, 91)), ((52, 91), (44, 87)), ((44, 87), (34, 81))]","(32, 42, 92, 89)"
24,"[((73, 95), (63, 95)), ((63, 95), (50, 84)), ((50, 84), (43, 74)), ((43, 74), (32, 64)), ((73, 95), (88, 95)), ((88, 95), (98, 88)), ((98, 88), (105, 85)), ((105, 85), (112, 81)), ((73, 95), (84, 85)), ((84, 85), (98, 78)), ((98, 78), (105, 71)), ((105, 71), (112, 67)), ((73, 95), (77, 78)), ((77, 78), (91, 64)), ((91, 64), (95, 57)), ((95, 57), (102, 50)), ((73, 95), (71, 71)), ((71, 71), (77, 57)), ((77, 57), (80, 50)), ((80, 50), (84, 40))]","(30, 39, 86, 97)"
25,"[((90, 104), (97, 94)), ((97, 94), (108, 83)), ((108, 83), (112, 73)), ((112, 73), (119, 62)), ((90, 104), (87, 73)), ((87, 73), (83, 62)), ((83, 62), (76, 51)), ((76, 51), (69, 44)), ((90, 104), (76, 80)), ((76, 80), (66, 65)), ((66, 65), (58, 55)), ((58, 55), (51, 48)), ((90, 104), (69, 87)), ((69, 87), (58, 76)), ((58, 76), (48, 69)), ((48, 69), (40, 62)), ((90, 104), (65, 94)), ((65, 94), (51, 90)), ((51, 90), (44, 87)), ((44, 87), (36, 80))]","(32, 40, 92, 89)"
26,"[((70, 96), (60, 93)), ((60, 93), (49, 86)), ((49, 86), (40, 75)), ((40, 75), (32, 68)), ((70, 96), (84, 97)), ((84, 97), (94, 92)), ((94, 92), (102, 86)), ((102, 86), (109, 82)), ((70, 96), (81, 89)), ((81, 89), (94, 79)), ((94, 79), (102, 72)), ((102, 72), (109, 68)), ((70, 96), (74, 79)), ((74, 79), (87, 65)), ((87, 65), (94, 58)), ((94, 58), (101, 50)), ((70, 96), (70, 72)), ((70, 72), (74, 58)), ((74, 58), (77, 51)), ((77, 51), (81, 43))]","(29, 40, 86, 97)"
27,"[((91, 106), (99, 95)), ((99, 95), (109, 84)), ((109, 84), (113, 74)), ((113, 74), (121, 66)), ((91, 106), (88, 74)), ((88, 74), (84, 63)), ((84, 63), (77, 52)), ((77, 52), (73, 45)), ((91, 106), (77, 81)), ((77, 81), (69, 66)), ((69, 66), (59, 59)), ((59, 59), (55, 52)), ((91, 106), (70, 88)), ((70, 88), (59, 77)), ((59, 77), (48, 70)), ((48, 70), (41, 63)), ((91, 106), (66, 98)), ((66, 98), (55, 92)), ((55, 92), (45, 88)), ((45, 88), (37, 84))]","(35, 43, 91, 87)"
28,"[((66, 95), (62, 95)), ((62, 95), (49, 85)), ((49, 85), (39, 74)), ((39, 74), (29, 67)), ((66, 95), (83, 96)), ((83, 96), (93, 92)), ((93, 92), (100, 88)), ((100, 88), (107, 81)), ((66, 95), (80, 88)), ((80, 88), (93, 78)), ((93, 78), (100, 74)), ((100, 74), (107, 67)), ((66, 95), (73, 78)), ((73, 78), (83, 67)), ((83, 67), (90, 60)), ((90, 60), (97, 50)), ((66, 95), (69, 71)), ((69, 71), (73, 60)), ((73, 60), (76, 50)), ((76, 50), (79, 43))]","(27, 40, 85, 95)"
29,"[((90, 105), (97, 95)), ((97, 95), (108, 84)), ((108, 84), (115, 73)), ((115, 73), (122, 63)), ((90, 105), (89, 76)), ((89, 76), (83, 62)), ((83, 62), (79, 55)), ((79, 55), (72, 48)), ((90, 105), (76, 80)), ((76, 80), (69, 69)), ((69, 69), (61, 59)), ((61, 59), (54, 52)), ((90, 105), (72, 91)), ((72, 91), (58, 77)), ((58, 77), (48, 70)), ((48, 70), (43, 66)), ((90, 105), (65, 98)), ((65, 98), (54, 91)), ((54, 91), (47, 91)), ((47, 91), (37, 84))]","(36, 45, 90, 84)"
30,"[((68, 94), (64, 97)), ((64, 97), (50, 86)), ((50, 86), (40, 76)), ((40, 76), (30, 68)), ((68, 94), (86, 97)), ((86, 97), (92, 93)), ((92, 93), (100, 90)), ((100, 90), (107, 83)), ((68, 94), (82, 87)), ((82, 87), (95, 80)), ((95, 80), (100, 76)), ((100, 76), (109, 69)), ((68, 94), (75, 80)), ((75, 80), (85, 68)), ((85, 68), (92, 61)), ((92, 61), (99, 51)), ((68, 94), (68, 75)), ((68, 75), (74, 62)), ((74, 62), (75, 54)), ((75, 54), (81, 44))]","(29, 42, 85, 94)"
31,"[((89, 104), (97, 94)), ((97, 94), (107, 83)), ((107, 83), (114, 73)), ((114, 73), (121, 65)), ((89, 104), (86, 76)), ((86, 76), (82, 62)), ((82, 62), (79, 55)), ((79, 55), (75, 48)), ((89, 104), (78, 80)), ((78, 80), (68, 69)), ((68, 69), (61, 59)), ((61, 59), (54, 52)), ((89, 104), (72, 90)), ((72, 90), (58, 79)), ((58, 79), (50, 72)), ((50, 72), (44, 66)), ((89, 104), (68, 98)), ((68, 98), (57, 94)), ((57, 94), (47, 90)), ((47, 90), (40, 87))]","(36, 46, 91, 83)"
32,"[((74, 88), (71, 92)), ((71, 92), (57, 82)), ((57, 82), (47, 71)), ((47, 71), (36, 64)), ((74, 88), (92, 92)), ((92, 92), (98, 91)), ((98, 91), (105, 85)), ((105, 85), (113, 81)), ((74, 88), (88, 84)), ((88, 84), (101, 77)), ((101, 77), (106, 71)), ((106, 71), (112, 67)), ((74, 88), (81, 75)), ((81, 75), (91, 64)), ((91, 64), (98, 57)), ((98, 57), (102, 50)), ((74, 88), (77, 70)), ((77, 70), (81, 57)), ((81, 57), (81, 50)), ((81, 50), (85, 40))]","(35, 39, 88, 94)"
33,"[((84, 98), (97, 91)), ((97, 91), (107, 80)), ((107, 80), (114, 67)), ((114, 67), (121, 60)), ((84, 98), (86, 70)), ((86, 70), (83, 57)), ((83, 57), (80, 50)), ((80, 50), (76, 46)), ((84, 98), (76, 74)), ((76, 74), (66, 63)), ((66, 63), (59, 53)), ((59, 53), (56, 50)), ((84, 98), (69, 84)), ((69, 84), (56, 74)), ((56, 74), (49, 67)), ((49, 67), (46, 63)), ((84, 98), (63, 91)), ((63, 91), (53, 88)), ((53, 88), (46, 87)), ((46, 87), (39, 84))]","(37, 42, 89, 83)"
34,"[((83, 100), (69, 90)), ((69, 90), (56, 80)), ((56, 80), (45, 69)), ((45, 69), (35, 60)), ((83, 100), (73, 66)), ((73, 66), (76, 53)), ((76, 53), (79, 46)), ((79, 46), (82, 39)), ((83, 100), (82, 73)), ((82, 73), (89, 59)), ((89, 59), (93, 53)), ((93, 53), (99, 49)), ((83, 100), (89, 80)), ((89, 80), (100, 70)), ((100, 70), (103, 69)), ((103, 69), (109, 66)), ((83, 100), (93, 90)), ((93, 90), (99, 86)), ((99, 86), (103, 83)), ((103, 83), (109, 80))]","(32, 37, 92, 93)"
35,"[((70, 98), (83, 91)), ((83, 91), (97, 81)), ((97, 81), (103, 70)), ((103, 70), (113, 60)), ((70, 98), (79, 70)), ((79, 70), (76, 56)), ((76, 56), (73, 50)), ((73, 50), (70, 46)), ((70, 98), (66, 74)), ((66, 74), (55, 53)), ((55, 53), (53, 53)), ((53, 53), (52, 53)), ((70, 98), (59, 81)), ((59, 81), (45, 67)), ((45, 67), (42, 64)), ((42, 64), (42, 64)), ((70, 98), (55, 91)), ((55, 91), (42, 87)), ((42, 87), (38, 87)), ((38, 87), (35, 87))]","(32, 42, 86, 85)"
36,"[((88, 100), (71, 93)), ((71, 93), (54, 82)), ((54, 82), (43, 71)), ((43, 71), (33, 61)), ((88, 100), (71, 68)), ((71, 68), (71, 57)), ((71, 57), (74, 47)), ((74, 47), (78, 40)), ((88, 100), (81, 74)), ((81, 74), (88, 58)), ((88, 58), (92, 53)), ((92, 53), (92, 50)), ((88, 100), (88, 81)), ((88, 81), (99, 71)), ((99, 71), (99, 71)), ((99, 71), (102, 68)), ((88, 100), (95, 89)), ((95, 89), (99, 85)), ((99, 85), (102, 85)), ((102, 85), (102, 82))]","(30, 39, 95, 93)"
37,"[((84, 88), (75, 79)), ((75, 79), (62, 69)), ((62, 69), (50, 57)), ((50, 57), (40, 50)), ((84, 88), (72, 66)), ((72, 66), (75, 49)), ((75, 49), (75, 40)), ((75, 40), (75, 30)), ((84, 88), (81, 82)), ((81, 82), (88, 69)), ((88, 69), (85, 46)), ((85, 46), (88, 40)), ((84, 88), (85, 95)), ((85, 95), (88, 82)), ((88, 82), (94, 79)), ((94, 79), (98, 72)), ((84, 88), (95, 98)), ((95, 98), (101, 92)), ((101, 92), (101, 89)), ((101, 89), (110, 85))]","(38, 29, 99, 92)"
38,"[((68, 82), (80, 76)), ((80, 76), (93, 63)), ((93, 63), (99, 53)), ((99, 53), (106, 40)), ((68, 82), (74, 60)), ((74, 60), (71, 53)), ((71, 53), (68, 47)), ((68, 47), (65, 43)), ((68, 82), (65, 69)), ((65, 69), (61, 63)), ((61, 63), (55, 59)), ((55, 59), (52, 57)), ((68, 82), (59, 79)), ((59, 79), (55, 79)), ((55, 79), (49, 76)), ((49, 76), (43, 73)), ((68, 82), (61, 92)), ((61, 92), (55, 95)), ((55, 95), (46, 102)), ((46, 102), (46, 98))]","(41, 37, 70, 71)"
39,"[((68, 78), (78, 74)), ((78, 74), (88, 62)), ((88, 62), (97, 52)), ((97, 52), (103, 39)), ((68, 78), (71, 59)), ((71, 59), (68, 53)), ((68, 53), (65, 49)), ((65, 49), (62, 46)), ((68, 78), (62, 68)), ((62, 68), (59, 65)), ((59, 65), (52, 62)), ((52, 62), (49, 59)), ((68, 78), (59, 81)), ((59, 81), (52, 78)), ((52, 78), (46, 78)), ((46, 78), (40, 75)), ((68, 78), (59, 91)), ((59, 91), (53, 97)), ((53, 97), (46, 97)), ((46, 97), (42, 97))]","(37, 37, 69, 67)"
40,"[((70, 80), (77, 74)), ((77, 74), (89, 64)), ((89, 64), (95, 52)), ((95, 52), (101, 39)), ((70, 80), (70, 61)), ((70, 61), (67, 55)), ((67, 55), (64, 49)), ((64, 49), (61, 46)), ((70, 80), (64, 70)), ((64, 70), (57, 65)), ((57, 65), (52, 62)), ((52, 62), (48, 61)), ((70, 80), (58, 80)), ((58, 80), (51, 80)), ((51, 80), (48, 78)), ((48, 78), (41, 77)), ((70, 80), (61, 93)), ((61, 93), (54, 96)), ((54, 96), (48, 99)), ((48, 99), (42, 100))]","(38, 37, 69, 67)"
41,"[((70, 80), (79, 74)), ((79, 74), (91, 61)), ((91, 61), (98, 51)), ((98, 51), (104, 39)), ((70, 80), (73, 61)), ((73, 61), (70, 55)), ((70, 55), (67, 49)), ((67, 49), (63, 46)), ((70, 80), (64, 70)), ((64, 70), (60, 64)), ((60, 64), (54, 61)), ((54, 61), (48, 61)), ((70, 80), (60, 80)), ((60, 80), (51, 80)), ((51, 80), (48, 77)), ((48, 77), (42, 77)), ((70, 80), (61, 92)), ((61, 92), (54, 96)), ((54, 96), (51, 99)), ((51, 99), (45, 99))]","(39, 37, 69, 67)"
42,"[((71, 82), (78, 76)), ((78, 76), (91, 65)), ((91, 65), (97, 53)), ((97, 53), (103, 40)), ((71, 82), (72, 62)), ((72, 62), (68, 56)), ((68, 56), (65, 50)), ((65, 50), (62, 47)), ((71, 82), (65, 72)), ((65, 72), (59, 66)), ((59, 66), (53, 63)), ((53, 63), (49, 62)), ((71, 82), (59, 82)), ((59, 82), (52, 79)), ((52, 79), (49, 79)), ((49, 79), (42, 79)), ((71, 82), (62, 92)), ((62, 92), (55, 98)), ((55, 98), (49, 101)), ((49, 101), (46, 102))]","(40, 39, 69, 66)"
43,"[((69, 82), (79, 76)), ((79, 76), (91, 63)), ((91, 63), (98, 53)), ((98, 53), (104, 40)), ((69, 82), (72, 62)), ((72, 62), (68, 53)), ((68, 53), (65, 50)), ((65, 50), (62, 46)), ((69, 82), (63, 69)), ((63, 69), (59, 66)), ((59, 66), (53, 63)), ((53, 63), (49, 60)), ((69, 82), (59, 82)), ((59, 82), (50, 79)), ((50, 79), (46, 79)), ((46, 79), (40, 76)), ((69, 82), (59, 92)), ((59, 92), (53, 98)), ((53, 98), (47, 98)), ((47, 98), (43, 99))]","(38, 38, 70, 67)"
44,"[((73, 87), (83, 80)), ((83, 80), (97, 66)), ((97, 66), (104, 56)), ((104, 56), (110, 42)), ((73, 87), (77, 63)), ((77, 63), (73, 52)), ((73, 52), (70, 49)), ((70, 49), (66, 45)), ((73, 87), (67, 70)), ((67, 70), (60, 63)), ((60, 63), (56, 59)), ((56, 59), (56, 59)), ((73, 87), (63, 83)), ((63, 83), (53, 76)), ((53, 76), (49, 76)), ((49, 76), (46, 76)), ((73, 87), (63, 100)), ((63, 100), (52, 103)), ((52, 103), (49, 103)), ((49, 103), (49, 100))]","(45, 40, 71, 76)"
45,"[((77, 94), (64, 84)), ((64, 84), (50, 71)), ((50, 71), (40, 58)), ((40, 58), (31, 45)), ((77, 94), (67, 61)), ((67, 61), (73, 51)), ((73, 51), (76, 41)), ((76, 41), (80, 35)), ((77, 94), (74, 68)), ((74, 68), (80, 57)), ((80, 57), (87, 48)), ((87, 48), (90, 44)), ((77, 94), (80, 77)), ((80, 77), (93, 68)), ((93, 68), (93, 68)), ((93, 68), (93, 65)), ((77, 94), (87, 87)), ((87, 87), (94, 84)), ((94, 84), (93, 84)), ((93, 84), (87, 88))]","(29, 32, 88, 103)"
46,"[((68, 108), (55, 98)), ((55, 98), (44, 82)), ((44, 82), (38, 68)), ((38, 68), (28, 58)), ((68, 108), (61, 75)), ((61, 75), (68, 61)), ((68, 61), (71, 52)), ((71, 52), (75, 45)), ((68, 108), (68, 81)), ((68, 81), (75, 68)), ((75, 68), (81, 61)), ((81, 61), (85, 51)), ((68, 108), (75, 88)), ((75, 88), (81, 81)), ((81, 81), (85, 75)), ((85, 75), (91, 72)), ((68, 108), (78, 98)), ((78, 98), (81, 95)), ((81, 95), (85, 92)), ((85, 92), (88, 91))]","(26, 42, 86, 110)"
